"id","School","Sex","Grade","Final"
1088,"B","M",2,89.5
1089,"B","M",3,90.1
1090,"B","F",1,82.1
1091,"B","F",2,89.2
1092,"B","F",3,80.8
1093,"B","M",1,97.8
1094,"B","M",2,95.7
1095,"B","M",3,100
1096,"B","F",1,93.7
1097,"B","F",2,100
1098,"B","F",3,97.3
1099,"B","M",1,77.5
1100,"B","M",2,76.6
1101,"B","M",3,85.3
1102,"B","F",1,89.4
1103,"B","F",2,98.7
1104,"B","F",3,100
1105,"B","M",1,76.8
1106,"B","M",2,90.3
1107,"B","M",3,88.6
1108,"B","F",1,82.3
1109,"B","F",2,77.1
1110,"B","F",3,84.4
1111,"B","M",1,95.6
1112,"B","M",2,100
1113,"B","M",3,82.2
1114,"B","F",1,83.1
1115,"B","F",2,100
1116,"B","F",3,83.5
1117,"B","M",1,82.2
1118,"B","M",2,86.4
1119,"B","M",3,89
1120,"B","F",1,86.6
1121,"B","F",2,100
1122,"B","F",3,87.3
1123,"B","M",1,80.7
1124,"B","M",2,90.5
1125,"B","M",3,93.7
1126,"B","F",1,100
1127,"B","F",2,98.6
1128,"B","F",3,80
1129,"B","M",1,82.4
1130,"B","M",2,95.1
1131,"B","M",3,69.8
1132,"B","F",1,100
1133,"B","F",2,100
1134,"B","F",3,78.9
1135,"B","M",1,76.7
1136,"B","M",2,97.4
1137,"B","M",3,95.3
1138,"B","F",1,83.3
1139,"B","F",2,74.8
1140,"B","F",3,95
1141,"B","M",1,100
1142,"B","M",2,79.9
1143,"B","M",3,78.3
1144,"B","F",1,87.2
1145,"B","F",2,78.6
1146,"B","F",3,95.4
1147,"B","M",1,96.5
1148,"B","M",2,93
1149,"B","M",3,93.9
1150,"B","F",1,89.7
1151,"B","F",2,88.9
1152,"B","F",3,90.1
1153,"B","M",1,80.2
1154,"B","M",2,100
1155,"B","M",3,76.7
1156,"B","F",1,88.6
1157,"B","F",2,81.1
1158,"B","F",3,91.7
1159,"B","M",1,95.3
1160,"B","M",2,100
1161,"B","M",3,91.4
1162,"B","F",1,100
1163,"B","F",2,87
1164,"B","F",3,100
1165,"B","M",1,85
1166,"B","M",2,90.7
1167,"B","M",3,89
1168,"B","F",1,84.5
1169,"B","F",2,79.9
1170,"B","F",3,100
1171,"B","M",1,73.6
1172,"B","M",2,79.3
1173,"B","M",3,98.1
1174,"B","F",1,85.7
1175,"B","F",2,89.8
1176,"B","F",3,86.7
1177,"B","M",1,84.1
1178,"B","M",2,86.5
1179,"B","M",3,96.9
1180,"B","F",1,85.3
1181,"B","F",2,88.8
1182,"B","F",3,90.6
1183,"B","M",1,90.9
1184,"B","M",2,82.5
1185,"B","M",3,100
1186,"B","F",1,79.5
1187,"B","F",2,92.7
1188,"B","F",3,89
1189,"B","M",1,90
1190,"B","M",2,84.5
1191,"B","M",3,62.9
1192,"B","F",1,91.9
1193,"B","F",2,91.1
1194,"B","F",3,88.5
1195,"B","M",1,97.5
1196,"B","M",2,100
1197,"B","M",3,91
1198,"B","F",1,94.6
1199,"B","F",2,79.6
1200,"B","F",3,86.7
1201,"B","M",1,80.4
1202,"B","M",2,78.1
1203,"B","M",3,96.4
1204,"B","F",1,97.1
1205,"B","F",2,100
1206,"B","F",3,93.1
1207,"B","M",1,86.9
1208,"B","M",2,91.7
1209,"B","M",3,79.1
1210,"B","F",1,100
1211,"B","F",2,100
1212,"B","F",3,91.3
1213,"B","M",1,100
1214,"B","M",2,92.9
1215,"B","M",3,100
1216,"B","F",1,100
1217,"B","F",2,87.7
1218,"B","F",3,100
1219,"B","M",1,91
1220,"B","M",2,85.9
1221,"B","M",3,84.5
1222,"B","F",1,78.9
1223,"B","F",2,73.9
1224,"B","F",3,90.7
1225,"B","M",1,96
1226,"B","M",2,95.1
1227,"B","M",3,78.3
1228,"B","F",1,99.8
1229,"B","F",2,79.7
1230,"B","F",3,90.3
1231,"B","M",1,92.8
1232,"B","M",2,92.2
1233,"B","M",3,86.8
1234,"B","F",1,98.6
1235,"B","F",2,100
1236,"B","F",3,86.8
1237,"B","M",1,81.3
1238,"B","M",2,93
1239,"B","M",3,90.3
1240,"B","F",1,95.3
1241,"B","F",2,71.7
1242,"B","F",3,86.2
1243,"B","M",1,59.5
1244,"B","M",2,81.4
1245,"B","M",3,87.1
1246,"B","F",1,80.1
1247,"B","F",2,86.8
1248,"B","F",3,78.8
1249,"B","M",1,74.8
1250,"B","M",2,95.3
1251,"B","M",3,84.8
1252,"B","F",1,94
1253,"B","F",2,69.6
1254,"B","F",3,88.2
1255,"B","M",1,96.2
1256,"B","M",2,97.7
1257,"B","M",3,92.6
1258,"B","F",1,96.4
1259,"B","F",2,100
1260,"B","F",3,92.9
1261,"B","M",1,99
1262,"B","M",2,78
1263,"B","M",3,97.6
1264,"B","F",1,80.4
1265,"B","F",2,63.9
1266,"B","F",3,100
1267,"B","M",1,100
1268,"B","M",2,93.5
1269,"B","M",3,87.9
1270,"B","F",1,83.3
1271,"B","F",2,85.4
1272,"B","F",3,100
1273,"B","M",1,71.1
1274,"B","M",2,77.1
1275,"B","M",3,85.4
1276,"B","F",1,90.3
1277,"B","F",2,87.7
1278,"B","F",3,95.2
1279,"B","M",1,77.9
1280,"B","M",2,70.9
1281,"B","M",3,90.5
1282,"B","F",1,83.3
1283,"B","F",2,100
1284,"B","F",3,84.5
1285,"B","M",1,91.5
1286,"B","M",2,88.9
1287,"B","M",3,74.9
1288,"B","F",1,91
1289,"B","F",2,96.7
1290,"B","F",3,75.7
1291,"B","M",1,94
1292,"B","M",2,90.3
1293,"B","M",3,94.2
1294,"B","F",1,83.5
1295,"B","F",2,74.6
1296,"B","F",3,90.7
1297,"B","M",1,94.8
1298,"B","M",2,93.5
1299,"B","M",3,91.1
1300,"B","F",1,86.3
1301,"B","F",2,88.9
1302,"B","F",3,90.1
1303,"B","M",1,93.2
1304,"B","M",2,95.7
1305,"B","M",3,81.3
1306,"B","F",1,90.1
1307,"B","F",2,100
1308,"B","F",3,90.5
1309,"B","M",1,100
1310,"B","M",2,89.1
1311,"B","M",3,100
1312,"B","F",1,100
1313,"B","F",2,70.4
1314,"B","F",3,100
1315,"B","M",1,79
1316,"B","M",2,91.2
1317,"B","M",3,78
1318,"B","F",1,100
1319,"B","F",2,96.5
1320,"B","F",3,100
1321,"B","M",1,79.9
1322,"B","M",2,86
1323,"B","M",3,84.6
1324,"B","F",1,92.1
1325,"B","F",2,63.6
1326,"B","F",3,86.2
1327,"B","M",1,87.1
1328,"B","M",2,90.9
1329,"B","M",3,99.2
1330,"B","F",1,79.3
1331,"B","F",2,84.5
1332,"B","F",3,94.1
1333,"B","M",1,86.1
1334,"B","M",2,100
1335,"B","M",3,85.7
1336,"B","F",1,86.7
1337,"B","F",2,75.2
1338,"B","F",3,94
1339,"B","M",1,87
1340,"B","M",2,87.4
1341,"B","M",3,84.4
1342,"B","F",1,73.4
1343,"B","F",2,82.3
1344,"B","F",3,82.5
1345,"B","M",1,87.7
1346,"B","M",2,59.4
1347,"B","M",3,88
1348,"B","F",1,100
1349,"B","F",2,100
1350,"B","F",3,98.1
1351,"B","M",1,100
1352,"B","M",2,79.5
1353,"B","M",3,91.6
1354,"B","F",1,84
1355,"B","F",2,95.8
1356,"B","F",3,98.7
1357,"B","M",1,76.8
1358,"B","M",2,84.5
1359,"B","M",3,100
1360,"B","F",1,76.4
1361,"B","F",2,82.5
1362,"B","F",3,97.4
1363,"B","M",1,93
1364,"B","M",2,88.1
1365,"B","M",3,85.8
1366,"B","F",1,85.6
1367,"B","F",2,80.7
1368,"B","F",3,91.4
1369,"B","M",1,98.4
1370,"B","M",2,96.3
1371,"B","M",3,86.5
1372,"B","F",1,91.8
1373,"B","F",2,80.2
1374,"B","F",3,96.5
1375,"B","M",1,93.3
1376,"B","M",2,86.6
1377,"B","M",3,77
1378,"B","F",1,84.8
1379,"B","F",2,76.9
1380,"B","F",3,89.5
1381,"B","M",1,85.4
1382,"B","M",2,79.3
1383,"B","M",3,97.4
1384,"B","F",1,78
1385,"B","F",2,83.6
1386,"B","F",3,96.7
1387,"B","M",1,100
1388,"B","M",2,81.9
1389,"B","M",3,85.1
1390,"B","F",1,86.1
1391,"B","F",2,100
1392,"B","F",3,100
1393,"B","M",1,91.1
1394,"B","M",2,93.4
1395,"B","M",3,88.5
1396,"B","F",1,78.1
1397,"B","F",2,100
1398,"B","F",3,100
1399,"B","M",1,93.6
1400,"B","M",2,93.5
1401,"B","M",3,100
1402,"B","F",1,85.2
1403,"B","F",2,71.7
1404,"B","F",3,100
1405,"B","M",1,82.8
1406,"B","M",2,90.4
1407,"B","M",3,97.5
1408,"B","F",1,88.1
1409,"B","F",2,83.9
1410,"B","F",3,82.9
1411,"B","M",1,97.8
1412,"B","M",2,78.9
1413,"B","M",3,86.7
1414,"B","F",1,70.7
1415,"B","F",2,89.4
1416,"B","F",3,92
1417,"B","M",1,96.8
1418,"B","M",2,84.3
1419,"B","M",3,84.5
1420,"B","F",1,90
1421,"B","F",2,91.2
1422,"B","F",3,83.9
1423,"B","M",1,79.7
1424,"B","M",2,96.9
1425,"B","M",3,94.8
1426,"B","F",1,82.8
1427,"B","F",2,99.1
1428,"B","F",3,100
1429,"B","M",1,81.8
1430,"B","M",2,96.7
1431,"B","M",3,76.5
1432,"B","F",1,100
1433,"B","F",2,96.2
1434,"B","F",3,70.5
1435,"B","M",1,85.9
1436,"B","M",2,80.7
1437,"B","M",3,89.1
1438,"B","F",1,87.9
1439,"B","F",2,61.8
1440,"B","F",3,85.3
1441,"B","M",1,92.8
1442,"B","M",2,74
1443,"B","M",3,82.6
1444,"B","F",1,86.9
1445,"B","F",2,79.5
1446,"B","F",3,90.4
1447,"B","M",1,86.1
1448,"B","M",2,100
1449,"B","M",3,89.4
1450,"B","F",1,67.7
1451,"B","F",2,95.9
1452,"B","F",3,92.1
1453,"B","M",1,84.8
1454,"B","M",2,73.4
1455,"B","M",3,89.5
1456,"B","F",1,95.7
1457,"B","F",2,97.2
1458,"B","F",3,87.2
1459,"B","M",1,93.1
1460,"B","M",2,60.5
1461,"B","M",3,74.8
1462,"B","F",1,97.2
1463,"B","F",2,69.7
1464,"B","F",3,80.4
1465,"B","M",1,99.4
1466,"B","M",2,95.3
1467,"B","M",3,100
1468,"B","F",1,65.6
1469,"B","F",2,100
1470,"B","F",3,91
1471,"B","M",1,84.6
1472,"B","M",2,88.5
1473,"B","M",3,98.2
1474,"B","F",1,100
1475,"B","F",2,71.6
1476,"B","F",3,93.1
1477,"B","M",1,85.8
1478,"B","M",2,95.6
1479,"B","M",3,100
1480,"B","F",1,74
1481,"B","F",2,90.7
1482,"B","F",3,99.4
1483,"B","M",1,100
1484,"B","M",2,85.9
1485,"B","M",3,81.6
1486,"B","F",1,90.8
1487,"B","F",2,100
1488,"B","F",3,93.5
1489,"B","M",1,73.5
1490,"B","M",2,93.8
1491,"B","M",3,78.5
1492,"B","F",1,100
1493,"B","F",2,71.3
1494,"B","F",3,95.3
1495,"B","M",1,100
1496,"B","M",2,100
1497,"B","M",3,85.3
1498,"B","F",1,85.2
1499,"B","F",2,89.9
1500,"B","F",3,81
1501,"B","M",1,86.4
1502,"B","M",2,87.9
1503,"B","M",3,83.7
1504,"B","F",1,80.3
1505,"B","F",2,75.1
1506,"B","F",3,89.9
1507,"B","M",1,88.3
1508,"B","M",2,100
1509,"B","M",3,87.6
1510,"B","F",1,96.8
1511,"B","F",2,90.8
1512,"B","F",3,88.9
1513,"B","M",1,84.9
1514,"B","M",2,85.9
1515,"B","M",3,100
1516,"B","F",1,95.5
1517,"B","F",2,88.4
1518,"B","F",3,100
1519,"B","M",1,83.1
1520,"B","M",2,79.1
1521,"B","M",3,100
1522,"B","F",1,58.1
1523,"B","F",2,99.1
1524,"B","F",3,100
1525,"B","M",1,84.6
1526,"B","M",2,95
1527,"B","M",3,100
1528,"B","F",1,81.7
1529,"B","F",2,90.4
1530,"B","F",3,71.2
1531,"B","M",1,91.9
1532,"B","M",2,99.8
1533,"B","M",3,85.5
1534,"B","F",1,100
1535,"B","F",2,96.6
1536,"B","F",3,91.9
1537,"B","M",1,89.4
1538,"B","M",2,97.5
1539,"B","M",3,100
1540,"B","F",1,84.7
1541,"B","F",2,100
1542,"B","F",3,100
1543,"B","M",1,100
1544,"B","M",2,75.1
1545,"B","M",3,89.5
1546,"B","F",1,80.7
1547,"B","F",2,92.9
1548,"B","F",3,100
1549,"B","M",1,80.9
1550,"B","M",2,70.2
1551,"B","M",3,100
1552,"B","F",1,100
1553,"B","F",2,72.2
1554,"B","F",3,80.1
1555,"B","M",1,90.5
1556,"B","M",2,92.1
1557,"B","M",3,80.3
1558,"B","F",1,88.9
1559,"B","F",2,94.7
1560,"B","F",3,72
1561,"B","M",1,97.4
1562,"B","M",2,92.3
1563,"B","M",3,75
1564,"B","F",1,100
1565,"B","F",2,81
1566,"B","F",3,72.5
1567,"B","M",1,89.8
1568,"B","M",2,93.8
1569,"B","M",3,90.6
1570,"B","F",1,99.9
1571,"B","F",2,97.1
1572,"B","F",3,87
1573,"B","M",1,70.5
1574,"B","M",2,77.9
1575,"B","M",3,94
1576,"B","F",1,94.1
1577,"B","F",2,99.8
1578,"B","F",3,79.3
1579,"B","M",1,95.5
1580,"B","M",2,100
1581,"B","M",3,92.2
1582,"B","F",1,75
1583,"B","F",2,96.9
1584,"B","F",3,85.3
1585,"B","M",1,84.7
1586,"B","M",2,75.8
1587,"B","M",3,100
1588,"B","F",1,100
1589,"B","F",2,79.5
1590,"B","F",3,89.9
1591,"B","M",1,77.8
1592,"B","M",2,84
1593,"B","M",3,92.3
1594,"B","F",1,88.7
1595,"B","F",2,85
1596,"B","F",3,100
1597,"B","M",1,100
1598,"B","M",2,82.2
1599,"B","M",3,78.4
1600,"B","F",1,100
1601,"B","F",2,100
1602,"B","F",3,100
1603,"B","M",1,84.4
1604,"B","M",2,100
1605,"B","M",3,86
1606,"B","F",1,83.1
1607,"B","F",2,94.9
1608,"B","F",3,89.7
1609,"B","M",1,90.8
1610,"B","M",2,83.4
1611,"B","M",3,81.3
1612,"B","F",1,88.9
1613,"B","F",2,94.9
1614,"B","F",3,79.1
1615,"B","M",1,94.7
1616,"B","M",2,90.5
1617,"B","M",3,80.1
1618,"B","F",1,96.4
1619,"B","F",2,76.3
1620,"B","F",3,90.7
1621,"B","M",1,79.4
1622,"B","M",2,77
1623,"B","M",3,100
1624,"B","F",1,99.9
1625,"B","F",2,89.6
1626,"B","F",3,73
1627,"B","M",1,87.7
1628,"B","M",2,95.7
1629,"B","M",3,100
1630,"B","F",1,100
1631,"B","F",2,87.3
1632,"B","F",3,100
1633,"B","M",1,92.3
1634,"B","M",2,79.5
1635,"B","M",3,92.1
1636,"B","F",1,88
1637,"B","F",2,83
1638,"B","F",3,80
1639,"B","M",1,84
1640,"B","M",2,100
1641,"B","M",3,92.3
1642,"B","F",1,95.2
1643,"B","F",2,100
1644,"B","F",3,80.6
1645,"B","M",1,74.7
1646,"B","M",2,87.8
1647,"B","M",3,96.5
1648,"B","F",1,89.6
1649,"B","F",2,100
1650,"B","F",3,81
1651,"B","M",1,99.6
1652,"B","M",2,82.7
1653,"B","M",3,85.8
1654,"B","F",1,95.1
1655,"B","F",2,88.6
1656,"B","F",3,85.3
1657,"B","M",1,94.3
1658,"B","M",2,80.4
1659,"B","M",3,75.8
1660,"B","F",1,100
1661,"B","F",2,93.9
1662,"B","F",3,87.3
1663,"B","M",1,94.6
1664,"B","M",2,86.3
1665,"B","M",3,100
1666,"B","F",1,92.3
1667,"B","F",2,85.1
1668,"B","F",3,91.6
1669,"B","M",1,87.1
1670,"B","M",2,77.8
1671,"B","M",3,86
1672,"B","F",1,94
1673,"B","F",2,78.7
1674,"B","F",3,80
1675,"B","M",1,96
1676,"B","M",2,88.3
1677,"B","M",3,99.9
1678,"B","F",1,100
1679,"B","F",2,78.7
1680,"B","F",3,100
1681,"B","M",1,100
1682,"B","M",2,87.7
1683,"B","M",3,78
1684,"B","F",1,90.3
1685,"B","F",2,95.7
1686,"B","F",3,83.8
1687,"B","M",1,100
1688,"B","M",2,83.7
1689,"B","M",3,79.1
1690,"B","F",1,85.8
1691,"B","F",2,83
1692,"B","F",3,89.1
1693,"B","M",1,100
1694,"B","M",2,88.9
1695,"B","M",3,92.3
1696,"B","F",1,92.2
1697,"B","F",2,91.1
1698,"B","F",3,90.1
1699,"B","M",1,89.5
1700,"B","M",2,97.8
1701,"B","M",3,79.7
1702,"B","F",1,78.1
1703,"B","F",2,100
1704,"B","F",3,96.6
1705,"B","M",1,85.8
1706,"B","M",2,100
1707,"B","M",3,85.8
1708,"B","F",1,100
1709,"B","F",2,90.2
1710,"B","F",3,92.2
1711,"B","M",1,79.3
1712,"B","M",2,100
1713,"B","M",3,89.4
1714,"B","F",1,87.9
1715,"B","F",2,81.5
1716,"B","F",3,84.5
1717,"B","M",1,84.1
1718,"B","M",2,75.3
1719,"B","M",3,91.5
1720,"B","F",1,93.8
1721,"B","F",2,96.2
1722,"B","F",3,89.9
1723,"B","M",1,85.2
1724,"B","M",2,99.7
1725,"B","M",3,88
1726,"B","F",1,81.3
1727,"B","F",2,87.7
1728,"B","F",3,89.7
1729,"B","M",1,75.1
1730,"B","M",2,77.4
1731,"B","M",3,97.2
1732,"B","F",1,97.4
1733,"B","F",2,98
1734,"B","F",3,92.3
1735,"B","M",1,88.3
1736,"B","M",2,100
1737,"B","M",3,85.6
1738,"B","F",1,88.7
1739,"B","F",2,75.8
1740,"B","F",3,98.3
1741,"B","M",1,81.1
1742,"B","M",2,70.9
1743,"B","M",3,82.6
1744,"B","F",1,79.7
1745,"B","F",2,79.1
1746,"B","F",3,96.6
1747,"B","M",1,98.9
1748,"B","M",2,74.4
1749,"B","M",3,100
1750,"B","F",1,76.5
1751,"B","F",2,72.8
1752,"B","F",3,86.7
1753,"B","M",1,82.5
1754,"B","M",2,97.2
1755,"B","M",3,95.2
1756,"B","F",1,100
1757,"B","F",2,100
1758,"B","F",3,91.8
1759,"B","M",1,84.8
1760,"B","M",2,96.6
1761,"B","M",3,93.7
1762,"B","F",1,83.3
1763,"B","F",2,87.3
1764,"B","F",3,90
1765,"B","M",1,98.9
1766,"B","M",2,95.8
1767,"B","M",3,98.3
1768,"B","F",1,84.1
1769,"B","F",2,81.4
1770,"B","F",3,85.6
1771,"B","M",1,100
1772,"B","M",2,90.5
1773,"B","M",3,94.4
1774,"B","F",1,100
1775,"B","F",2,89.1
1776,"B","F",3,90.7
1777,"B","M",1,91.1
1778,"B","M",2,96.5
1779,"B","M",3,74.2
1780,"B","F",1,71.3
1781,"B","F",2,93.2
1782,"B","F",3,72.4
1783,"B","M",1,87.5
1784,"B","M",2,91.8
1785,"B","M",3,84.6
1786,"B","F",1,76
1787,"B","F",2,100
1788,"B","F",3,91.4
1789,"B","M",1,71.6
1790,"B","M",2,78.3
1791,"B","M",3,86.4
1792,"B","F",1,83.8
1793,"B","F",2,60.4
1794,"B","F",3,94.4
1795,"B","M",1,100
1796,"B","M",2,92
1797,"B","M",3,97.2
1798,"B","F",1,80.7
1799,"B","F",2,90.2
1800,"B","F",3,81.7
1801,"B","M",1,84.2
1802,"B","M",2,100
1803,"B","M",3,100
1804,"B","F",1,85.1
1805,"B","F",2,91.8
1806,"B","F",3,87.3
1807,"B","M",1,90.8
1808,"B","M",2,86.4
1809,"B","M",3,95.7
1810,"B","F",1,95.1
1811,"B","F",2,81.7
1812,"B","F",3,100
1813,"B","M",1,77.6
1814,"B","M",2,100
1815,"B","M",3,82.8
1816,"B","F",1,81.3
1817,"B","F",2,94.9
1818,"B","F",3,100
1819,"B","M",1,98.4
1820,"B","M",2,97.4
1821,"B","M",3,70.9
1822,"B","F",1,96.9
1823,"B","F",2,100
1824,"B","F",3,100
1825,"B","M",1,89.3
1826,"B","M",2,65.4
1827,"B","M",3,90.4
1828,"B","F",1,83.3
1829,"B","F",2,89.6
1830,"B","F",3,94.1
1831,"B","M",1,82.5
1832,"B","M",2,94
1833,"B","M",3,89.1
1834,"B","F",1,88
1835,"B","F",2,89
1836,"B","F",3,92.4
1837,"B","M",1,89.8
1838,"B","M",2,90.9
1839,"B","M",3,98.6
1840,"B","F",1,85.6
1841,"B","F",2,100
1842,"B","F",3,77.9
1843,"B","M",1,100
1844,"B","M",2,82.2
1845,"B","M",3,96.3
1846,"B","F",1,82.6
1847,"B","F",2,89.6
1848,"B","F",3,76.5
1849,"B","M",1,100
1850,"B","M",2,79.1
1851,"B","M",3,94.9
1852,"B","F",1,78.2
1853,"B","F",2,86.9
1854,"B","F",3,85.6
1855,"B","M",1,75.6
1856,"B","M",2,72.2
1857,"B","M",3,72.3
1858,"B","F",1,90.9
1859,"B","F",2,77.6
1860,"B","F",3,100
1861,"B","M",1,100
1862,"B","M",2,82.6
1863,"B","M",3,86.2
1864,"B","F",1,78.1
1865,"B","F",2,73.1
1866,"B","F",3,98.2
1867,"B","M",1,79.3
1868,"B","M",2,100
1869,"B","M",3,93
1870,"B","F",1,98.2
1871,"B","F",2,94
1872,"B","F",3,97.1
1873,"B","M",1,86.5
1874,"B","M",2,85
1875,"B","M",3,89.9
1876,"B","F",1,94.5
1877,"B","F",2,78.3
1878,"B","F",3,94.8
1879,"B","M",1,94.8
1880,"B","M",2,100
1881,"B","M",3,89.2
1882,"B","F",1,70.3
1883,"B","F",2,90.8
1884,"B","F",3,89.9
1885,"B","M",1,96.9
1886,"B","M",2,100
1887,"B","M",3,84.4
1888,"B","F",1,89.6
1889,"B","F",2,99.6
1890,"B","F",3,98.6
1891,"B","M",1,83.4
1892,"B","M",2,87.8
1893,"B","M",3,78.9
1894,"B","F",1,77.3
1895,"B","F",2,93.6
1896,"B","F",3,91.4
1897,"B","M",1,97
1898,"B","M",2,77.1
1899,"B","M",3,97.4
1900,"B","F",1,83.9
1901,"B","F",2,84.8
1902,"B","F",3,100
1903,"B","M",1,91
1904,"B","M",2,100
1905,"B","M",3,100
1906,"B","F",1,94.8
1907,"B","F",2,100
1908,"B","F",3,100
1909,"B","M",1,82.3
1910,"B","M",2,100
1911,"B","M",3,94.6
1912,"B","F",1,92.6
1913,"B","F",2,78.5
1914,"B","F",3,81.3
1915,"B","M",1,88
1916,"B","M",2,79.5
1917,"B","M",3,89.6
1918,"B","F",1,100
1919,"B","F",2,85.2
1920,"B","F",3,100
1921,"B","M",1,78.2
1922,"B","M",2,85.4
1923,"B","M",3,100
1924,"B","F",1,100
1925,"B","F",2,94.3
1926,"B","F",3,100
1927,"B","M",1,100
1928,"B","M",2,100
1929,"B","M",3,90.9
1930,"B","F",1,98.2
1931,"B","F",2,86.5
1932,"B","F",3,100
1933,"B","M",1,87.6
1934,"B","M",2,79.1
1935,"B","M",3,95.6
1936,"B","F",1,92.6
1937,"B","F",2,99
1938,"B","F",3,87.9
1939,"B","M",1,98.2
1940,"B","M",2,86.1
1941,"B","M",3,82
1942,"B","F",1,93.7
1943,"B","F",2,81.4
1944,"B","F",3,98.5
1945,"B","M",1,97.9
1946,"B","M",2,99.8
1947,"B","M",3,70.6
1948,"B","F",1,100
1949,"B","F",2,79.5
1950,"B","F",3,69.9
1951,"B","M",1,96.9
1952,"B","M",2,91.4
1953,"B","M",3,89.5
1954,"B","F",1,95.2
1955,"B","F",2,78.2
1956,"B","F",3,93.5
1957,"B","M",1,88.6
1958,"B","M",2,80.6
1959,"B","M",3,73.7
1960,"B","F",1,91.2
1961,"B","F",2,77.9
1962,"B","F",3,96.2
1963,"B","M",1,82.9
1964,"B","M",2,69.4
1965,"B","M",3,96.5
1966,"B","F",1,98.3
1967,"B","F",2,80.5
1968,"B","F",3,98.8
1969,"B","M",1,92.9
1970,"B","M",2,88.5
1971,"B","M",3,83.6
1972,"B","F",1,88.3
1973,"B","F",2,76.2
1974,"B","F",3,80.3
1975,"B","M",1,100
1976,"B","M",2,91.5
1977,"B","M",3,85.3
1978,"B","F",1,100
1979,"B","F",2,96
1980,"B","F",3,95.7
1981,"B","M",1,90.9
1982,"B","M",2,100
1983,"B","M",3,100
1984,"B","F",1,96
1985,"B","F",2,94.6
1986,"B","F",3,100
1987,"B","M",1,86.6
1988,"B","M",2,100
1989,"B","M",3,100
1990,"B","F",1,87.5
1991,"B","F",2,98.2
1992,"B","F",3,81.4
1993,"B","M",1,92.9
1994,"B","M",2,80.6
1995,"B","M",3,87.6
1996,"B","F",1,85.9
1997,"B","F",2,91.6
1998,"B","F",3,100
1999,"B","M",1,72.1
2000,"B","M",2,81.8
2001,"C","M",3,100
2002,"C","F",1,100
2003,"C","F",2,89.7
2004,"C","F",3,89.9
2005,"C","M",1,79.9
2006,"C","M",2,91.2
2007,"C","M",3,93.3
2008,"C","F",1,100
2009,"C","F",2,100
2010,"C","F",3,84.6
2011,"C","M",1,95.4
2012,"C","M",2,81.1
2013,"C","M",3,66.7
2014,"C","F",1,85.1
2015,"C","F",2,90.5
2016,"C","F",3,89.8
2017,"C","M",1,76.6
2018,"C","M",2,75.8
2019,"C","M",3,74
2020,"C","F",1,73.5
2021,"C","F",2,83.1
2022,"C","F",3,93.1
2023,"C","M",1,86.5
2024,"C","M",2,78
2025,"C","M",3,83.9
2026,"C","F",1,77.7
2027,"C","F",2,87.8
2028,"C","F",3,92.7
2029,"C","M",1,96.1
2030,"C","M",2,83.4
2031,"C","M",3,74.1
2032,"C","F",1,89.7
2033,"C","F",2,96.1
2034,"C","F",3,85.3
2035,"C","M",1,98
2036,"C","M",2,99.5
2037,"C","M",3,98.8
2038,"C","F",1,77
2039,"C","F",2,100
2040,"C","F",3,98.8
2041,"C","M",1,100
2042,"C","M",2,89.1
2043,"C","M",3,100
2044,"C","F",1,96.9
2045,"C","F",2,83.5
2046,"C","F",3,90.6
2047,"C","M",1,79.6
2048,"C","M",2,89.9
2049,"C","M",3,79.3
2050,"C","F",1,86.1
2051,"C","F",2,80.4
2052,"C","F",3,93.3
2053,"C","M",1,100
2054,"C","M",2,77.2
2055,"C","M",3,75
2056,"C","F",1,100
2057,"C","F",2,100
2058,"C","F",3,86.3
2059,"C","M",1,77.5
2060,"C","M",2,95.7
2061,"C","M",3,100
2062,"C","F",1,98.7
2063,"C","F",2,79.3
2064,"C","F",3,88.6
2065,"C","M",1,90.9
2066,"C","M",2,100
2067,"C","M",3,69.1
2068,"C","F",1,77.9
2069,"C","F",2,69.6
2070,"C","F",3,100
2071,"C","M",1,85.8
2072,"C","M",2,94.3
2073,"C","M",3,93.9
2074,"C","F",1,93.7
2075,"C","F",2,83.8
2076,"C","F",3,85.8
2077,"C","M",1,81.1
2078,"C","M",2,69.3
2079,"C","M",3,64.9
2080,"C","F",1,100
2081,"C","F",2,94.2
2082,"C","F",3,100
2083,"C","M",1,91
2084,"C","M",2,89.8
2085,"C","M",3,83.5
2086,"C","F",1,100
2087,"C","F",2,90.1
2088,"C","F",3,78.8
2089,"C","M",1,89
2090,"C","M",2,95
2091,"C","M",3,100
2092,"C","F",1,84.2
2093,"C","F",2,73.9
2094,"C","F",3,89
2095,"C","M",1,80.7
2096,"C","M",2,87.7
2097,"C","M",3,83.1
2098,"C","F",1,83.2
2099,"C","F",2,96
2100,"C","F",3,90.4
2101,"C","M",1,71
2102,"C","M",2,100
2103,"C","M",3,89.1
2104,"C","F",1,100
2105,"C","F",2,90
2106,"C","F",3,80
2107,"C","M",1,100
2108,"C","M",2,95.7
2109,"C","M",3,94.6
2110,"C","F",1,85.4
2111,"C","F",2,92.6
2112,"C","F",3,97.4
2113,"C","M",1,98.4
2114,"C","M",2,80.4
2115,"C","M",3,97.7
2116,"C","F",1,85.7
2117,"C","F",2,94.8
2118,"C","F",3,82.8
2119,"C","M",1,85
2120,"C","M",2,67.2
2121,"C","M",3,88.3
2122,"C","F",1,84.8
