자전거ID,대여일시,대여소번호,대여소명,이용시간,이용거리
SPB-32405,2022-06-01 12:41,340,혜화동 로터리,30,2169.94
SPB-61063,2022-06-01 12:41,367,독립문역 3-1번출구,9,2198.59
SPB-47585,2022-06-01 12:41,538,답십리역 8번출구 앞,38,6030
SPB-51361,2022-06-01 12:41,369,광화문 시민열린마당,5,450
SPB-53134,2022-06-01 12:41,661,경희대학교 청운관,47,8778.76
SPB-46358,2022-06-01 12:41,182,망원2빗물펌프장 앞,15,2920
SPB-59554,2022-06-01 12:41,850,KCC용산월츠타워,53,3870
SPB-55581,2022-06-01 12:41,131,증산2교,42,5663.44
SPB-39797,2022-06-01 12:41,446,상명대입구,27,4582.79
SPB-34983,2022-06-01 12:41,613,신설동역 10번출구 앞,35,6000.93
SPB-37423,2022-06-01 12:42,450,효자동 삼거리,4,906.38
SPB-51453,2022-06-01 12:43,420,서울시 공공자전거 상암센터,103,5127.53
SPB-58674,2022-06-01 12:43,817,삼각지역 4번출구 앞,50,6233.22
SPB-57170,2022-06-01 12:44,391,시립미술관,53,5590
SPB-58516,2022-06-01 12:45,452,동대문 종합시장 버스정류장,3,500
SPB-56878,2022-06-01 12:45,476,광희문,10,1280
SPB-52180,2022-06-01 12:45,417,DMC역 2번출구 옆,4,544.29
SPB-56543,2022-06-01 12:45,452,동대문 종합시장 버스정류장,84,870
SPB-34703,2022-06-01 12:46,819,선린인터넷 고등학교,37,6649.24
SPB-48526,2022-06-01 12:46,339,종로4가 사거리,22,1830
SPB-49153,2022-06-01 12:46,498,연남동주민센터 앞,11,3100
SPB-32053,2022-06-01 12:46,391,시립미술관,51,5822.78
SPB-37520,2022-06-01 12:46,486,평창동주민센터 앞,3,438.29
SPB-33159,2022-06-01 12:46,813,삼각지역 3번출구,47,6099.44
SPB-58539,2022-06-01 12:47,308,광화문 S타워 앞,3,450
SPB-49355,2022-06-01 12:47,394,경희궁 자이 3단지,6,660
SPB-54553,2022-06-01 12:47,441,염천교사거리,2,260
SPB-30879,2022-06-01 12:47,931,역촌파출소,28,4478.28
SPB-47712,2022-06-01 12:48,474,동대문역사문화공원역 1번출구 뒤편,45,4080
SPB-54270,2022-06-01 12:48,476,광희문,5,992.05
SPB-58599,2022-06-01 12:48,351,청운초교 앞 삼거리,12,2150
SPB-61332,2022-06-01 12:49,394,경희궁 자이 3단지,15,2180
SPB-48098,2022-06-01 12:49,454,종로2가 버스정류장 (종각방향),7,910
SPB-32647,2022-06-01 12:49,431,청계천 영도교,7,913.48
SPB-40057,2022-06-01 12:49,329,청계2가 사거리 옆,40,921.91
SPB-50489,2022-06-01 12:50,389,을지로4가역 1번출구,11,856.58
SPB-48711,2022-06-01 12:50,380,CJ제일제당 앞,14,1190
SPB-38812,2022-06-01 12:51,458,광화문역 5번출구,7,791.16
SPB-59680,2022-06-01 12:51,464,삼청동 골목,9,1370
SPB-31981,2022-06-01 12:52,543,구의공원(테크노마트 앞),26,2219.06
SPB-54938,2022-06-01 12:52,576,광나루역 3번 출구,69,3020
SPB-40986,2022-06-01 12:53,454,종로2가 버스정류장 (종각방향),18,935.61
SPB-59820,2022-06-01 12:53,361,동묘앞역 1번출구 뒤,3,620
SPB-48705,2022-06-01 12:53,381,장충체육관,37,2010
SPB-32071,2022-06-01 12:53,338,세운스퀘어 앞,14,1752.04
SPB-30367,2022-06-01 12:54,349,사직동주민센터,38,1819.89
SPB-47024,2022-06-01 12:54,316,종각역 1번출구 앞,5,530
SPB-84500,2022-06-01 12:54,369,광화문 시민열린마당,22,2240
SPB-34855,2022-06-01 12:54,351,청운초교 앞 삼거리,34,2619.63
SPB-61063,2022-06-01 12:54,351,청운초교 앞 삼거리,34,2797.3
SPB-30635,2022-06-01 12:54,590,건국대학교 (입학정보관),4,887.34
SPB-51361,2022-06-01 12:55,369,광화문 시민열린마당,21,1800
SPB-50517,2022-06-01 12:56,408,LG CNS앞,5,844.46
SPB-51526,2022-06-01 12:56,487,신석초교앞 교차로 교통섬,35,2470
SPB-59982,2022-06-01 12:56,393,동대문역 8번 출구,29,1610
SPB-53535,2022-06-01 12:57,454,종로2가 버스정류장 (종각방향),22,1459.21
SPB-80926,2022-06-01 12:57,314,국립현대미술관,14,1850
SPB-51113,2022-06-01 12:57,314,국립현대미술관,15,1521.08
SPB-53937,2022-06-01 12:57,473,을지로4가역 9번출구,7,1704.43
SPB-44501,2022-06-01 12:58,340,혜화동 로터리,26,3378.81
SPB-40832,2022-06-01 12:58,321,KEB 하나금융그룹 명동사옥 옆,8,352.53
SPB-53751,2022-06-01 12:58,314,국립현대미술관,13,1470
SPB-56042,2022-06-01 12:58,488,푸르메병원,122,6130
SPB-80861,2022-06-01 12:58,436,이대역 5번출구,8,1330
SPB-58358,2022-06-01 12:58,421,마포구청 앞,121,570
SPB-48265,2022-06-01 12:58,418,월드컵경기장역 3번출구 옆,119,4130
SPB-43956,2022-06-01 12:58,418,월드컵경기장역 3번출구 옆,118,5451.44
SPB-55129,2022-06-01 12:58,418,월드컵경기장역 3번출구 옆,119,5017.79
SPB-56989,2022-06-01 12:59,303,광화문역 1번출구 앞,3,560
SPB-43780,2022-06-01 12:59,329,청계2가 사거리 옆,8,860.16
SPB-36250,2022-06-01 12:59,329,청계2가 사거리 옆,9,824.33
SPB-63337,2022-06-01 12:59,320,을지로입구역 4번출구 앞,123,210
SPB-55660,2022-06-01 12:59,680,꿈마루어린이도서관 앞,53,10054.3
SPB-41167,2022-06-01 12:59,483,남산타운아파트 버스정류장,74,2965.11
SPB-42121,2022-06-01 12:59,418,월드컵경기장역 3번출구 옆,117,4233.58
SPB-40905,2022-06-01 13:00,340,혜화동 로터리,23,3419.55
SPB-30486,2022-06-01 13:00,436,이대역 5번출구,6,1072.81
SPB-37728,2022-06-01 13:01,369,광화문 시민열린마당,5,352.51
SPB-58038,2022-06-01 13:01,186,월드컵공원,70,7620
SPB-58946,2022-06-01 13:01,488,푸르메병원,4,870
SPB-83468,2022-06-01 13:01,420,서울시 공공자전거 상암센터,60,4120
SPB-37423,2022-06-01 13:02,302,경복궁역 4번출구 뒤,11,1155.32
SPB-82009,2022-06-01 13:02,420,서울시 공공자전거 상암센터,58,3190
SPB-51563,2022-06-01 13:02,144,공덕역 8번출구,6,1111.77
SPB-62157,2022-06-01 13:02,369,광화문 시민열린마당,14,1070
SPB-59680,2022-06-01 13:03,302,경복궁역 4번출구 뒤,3,510
SPB-49418,2022-06-01 13:03,302,경복궁역 4번출구 뒤,29,2110
SPB-30562,2022-06-01 13:03,472,삼일교(시그니쳐 타워),20,2199.5
SPB-34490,2022-06-01 13:03,488,푸르메병원,3,4.26
SPB-46320,2022-06-01 13:03,420,서울시 공공자전거 상암센터,58,3320
SPB-51976,2022-06-01 13:03,169,북가좌 삼거리,14,2180
SPB-58254,2022-06-01 13:03,409,누리꿈스퀘어 옆,2,0
SPB-56336,2022-06-01 13:04,302,경복궁역 4번출구 뒤,10,1140
SPB-62177,2022-06-01 13:04,335,종로3가역 15번출구 앞,4,670
SPB-56318,2022-06-01 13:04,972,수색역,309,780
SPB-62943,2022-06-01 13:04,826,서울역 서부교차로2,19,1910
SPB-59019,2022-06-01 13:05,335,종로3가역 15번출구 앞,7,1130
SPB-43743,2022-06-01 13:05,400,상암한화오벨리스크 1차 앞,7,603.32
SPB-51436,2022-06-01 13:05,914,새절역 2번출구,14,2510
SPB-54980,2022-06-01 13:05,464,삼청동 골목,27,800
SPB-56989,2022-06-01 13:06,302,경복궁역 4번출구 뒤,27,2070
SPB-51062,2022-06-01 13:06,431,청계천 영도교,7,690
SPB-52494,2022-06-01 13:06,419,홈플러스 앞,9,1435.26
SPB-56275,2022-06-01 13:07,461,서울지방경찰청,11,1437.05
SPB-56672,2022-06-01 13:07,414,상암동주민센터 옆,11,1810
SPB-30296,2022-06-01 13:07,393,동대문역 8번 출구,48,1590.93
SPB-47081,2022-06-01 13:07,441,염천교사거리,12,2020
SPB-80756,2022-06-01 13:07,426,서울신용보증재단,6,1300
SPB-31017,2022-06-01 13:08,356,KT혜화지사 앞,4,854.98
SPB-54868,2022-06-01 13:08,413,상암월드컵파크 3단지 후문,11,1430
SPB-52370,2022-06-01 13:08,188,홍은동 정원여중 입구,16,3111.46
SPB-33162,2022-06-01 13:08,473,을지로4가역 9번출구,14,2215.81
SPB-58599,2022-06-01 13:09,458,광화문역 5번출구,7,1210
SPB-54807,2022-06-01 13:10,464,삼청동 골목,27,1530
SPB-49227,2022-06-01 13:10,353,재동초교 앞 삼거리,16,1476.92
SPB-52424,2022-06-01 13:10,538,답십리역 8번출구 앞,41,6340
SPB-43608,2022-06-01 13:10,487,신석초교앞 교차로 교통섬,9,895.41
SPB-32647,2022-06-01 13:11,393,동대문역 8번 출구,9,1163
SPB-30522,2022-06-01 13:12,457,종로꽃시장 입구 옆,11,967.21
SPB-57186,2022-06-01 13:12,362,청계8가 사거리,3,420
SPB-59090,2022-06-01 13:12,393,동대문역 8번 출구,7,930
SPB-42034,2022-06-01 13:12,131,증산2교,53,6633.64
SPB-46776,2022-06-01 13:12,473,을지로4가역 9번출구,17,1520
SPB-35200,2022-06-01 13:13,457,종로꽃시장 입구 옆,26,2547.88
SPB-48835,2022-06-01 13:13,381,장충체육관,3,420
SPB-42628,2022-06-01 13:13,321,KEB 하나금융그룹 명동사옥 옆,20,2354.14
SPB-60058,2022-06-01 13:13,406,상암월드컵파크 7단지 앞,77,3620
SPB-41147,2022-06-01 13:13,107,신한은행 서교동지점,73,7354.36
SPB-58539,2022-06-01 13:13,300,정동사거리,10,1130
SPB-46901,2022-06-01 13:13,488,푸르메병원,4,725.82
SPB-30383,2022-06-01 13:14,470,회현역 7번출구,8,1741.45
SPB-82373,2022-06-01 13:14,420,서울시 공공자전거 상암센터,125,4499.07
SPB-82301,2022-06-01 13:14,426,서울신용보증재단,11,1830
SPB-35230,2022-06-01 13:14,107,신한은행 서교동지점,72,7327.77
SPB-33785,2022-06-01 13:14,107,신한은행 서교동지점,72,7602.06
SPB-61542,2022-06-01 13:14,487,신석초교앞 교차로 교통섬,2,0
SPB-52274,2022-06-01 13:15,301,경복궁역 7번출구 앞,3,570
SPB-38550,2022-06-01 13:15,457,종로꽃시장 입구 옆,25,2471.39
SPB-43780,2022-06-01 13:15,320,을지로입구역 4번출구 앞,8,1581.42
SPB-51541,2022-06-01 13:15,372,약수역 3번출구 뒤,43,1950
SPB-83616,2022-06-01 13:15,420,서울시 공공자전거 상암센터,124,10620
SPB-53160,2022-06-01 13:15,948,디지털미디어 시티역 4번출구(DMC역),8,1164.8
SPB-55770,2022-06-01 13:15,194,증산교 앞,4,890
SPB-56055,2022-06-01 13:15,418,월드컵경기장역 3번출구 옆,60,269.94
SPB-39346,2022-06-01 13:15,487,신석초교앞 교차로 교통섬,148,23061.86
SPB-40134,2022-06-01 13:15,844,이촌2동 동원베네스트 아파트 앞,43,9038.78
SPB-58719,2022-06-01 13:15,908,구산역 4번출구,44,8250
SPB-81693,2022-06-01 13:16,428,명보사거리,8,500
SPB-36542,2022-06-01 13:16,326,안국역 5번출구 앞,31,2619.87
SPB-61606,2022-06-01 13:16,326,안국역 5번출구 앞,37,2570
SPB-37178,2022-06-01 13:16,479,동대입구역 3번 출구,18,2637.76
SPB-56479,2022-06-01 13:16,401,상암월드컵파크 10단지 앞,8,1230
SPB-59113,2022-06-01 13:16,135,명물길 원형무대 앞,22,2520
SPB-34140,2022-06-01 13:17,398,을지로3가역 3번출구,8,793.25
SPB-51990,2022-06-01 13:17,398,을지로3가역 3번출구,8,720
SPB-52579,2022-06-01 13:17,321,KEB 하나금융그룹 명동사옥 옆,18,2250.9
SPB-52799,2022-06-01 13:17,419,홈플러스 앞,9,1980
SPB-53411,2022-06-01 13:18,454,종로2가 버스정류장 (종각방향),16,2541.29
SPB-33960,2022-06-01 13:18,321,KEB 하나금융그룹 명동사옥 옆,17,2505.17
SPB-83945,2022-06-01 13:18,321,KEB 하나금융그룹 명동사옥 옆,18,2790
SPB-53100,2022-06-01 13:18,431,청계천 영도교,31,4968.66
SPB-53228,2022-06-01 13:18,487,신석초교앞 교차로 교통섬,145,21210
SPB-53290,2022-06-01 13:19,367,독립문역 3-1번출구,10,1552.39
SPB-57096,2022-06-01 13:19,453,종로오가 지하쇼핑센터 14번출구,22,2440
SPB-52274,2022-06-01 13:19,303,광화문역 1번출구 앞,16,2500
SPB-57400,2022-06-01 13:19,371,동대입구역 6번출구 뒤,14,2150
SPB-54203,2022-06-01 13:19,105,합정역 5번출구 앞,46,4024.19
SPB-31564,2022-06-01 13:19,394,경희궁 자이 3단지,79,9363.2
SPB-41401,2022-06-01 13:20,450,효자동 삼거리,20,850.49
SPB-46138,2022-06-01 13:20,417,DMC역 2번출구 옆,8,1370
SPB-63301,2022-06-01 13:20,418,월드컵경기장역 3번출구 옆,85,4000
SPB-43608,2022-06-01 13:20,487,신석초교앞 교차로 교통섬,5,1187.76
SPB-32114,2022-06-01 13:20,807,서울역 12번 출구 앞,26,2846.22
SPB-49197,2022-06-01 13:21,320,을지로입구역 4번출구 앞,36,3210
SPB-46633,2022-06-01 13:21,624,전농동 동아아파트 앞,26,4440
SPB-49495,2022-06-01 13:22,302,경복궁역 4번출구 뒤,10,1250
SPB-49460,2022-06-01 13:22,302,경복궁역 4번출구 뒤,10,1240
SPB-49065,2022-06-01 13:22,340,혜화동 로터리,3,390
SPB-53519,2022-06-01 13:23,314,국립현대미술관,4,111.46
SPB-52159,2022-06-01 13:23,388,동성중학교 앞,18,1520.46
SPB-31791,2022-06-01 13:23,420,서울시 공공자전거 상암센터,29,2585.87
SPB-41406,2022-06-01 13:23,462,신영동삼거리(북악터널방향),9,689.88
SPB-44423,2022-06-01 13:24,354,포르투갈 대사관 앞,19,1642.55
SPB-45707,2022-06-01 13:24,340,혜화동 로터리,26,2050
SPB-53751,2022-06-01 13:24,349,사직동주민센터,8,1110
SPB-47369,2022-06-01 13:24,324,신세계백화점 본점 앞,13,1670
SPB-32227,2022-06-01 13:24,488,푸르메병원,6,756.49
SPB-56336,2022-06-01 13:25,314,국립현대미술관,8,1090
SPB-50996,2022-06-01 13:25,326,안국역 5번출구 앞,55,1950
SPB-41070,2022-06-01 13:25,412,DMC산학협력연구센터 앞,6,884.77
SPB-52640,2022-06-01 13:25,422,문화비축기지,59,3180.32
SPB-60030,2022-06-01 13:26,314,국립현대미술관,7,1000
SPB-61523,2022-06-01 13:26,326,안국역 5번출구 앞,5,814.65
SPB-50994,2022-06-01 13:26,605,신설동역8번출구,8,960
SPB-61072,2022-06-01 13:26,802,한강진역 2번 출구 앞,42,3340
SPB-45056,2022-06-01 13:26,354,포르투갈 대사관 앞,16,1500
SPB-39671,2022-06-01 13:26,400,상암한화오벨리스크 1차 앞,50,2954.64
SPB-48773,2022-06-01 13:27,310,청계광장 옆,21,1820
SPB-45561,2022-06-01 13:27,310,청계광장 옆,21,1810
SPB-43743,2022-06-01 13:27,400,상암한화오벨리스크 1차 앞,49,3270.18
SPB-57884,2022-06-01 13:28,308,광화문 S타워 앞,11,1969.02
SPB-55492,2022-06-01 13:28,557,도선동 주민센터 앞,54,5800
SPB-36009,2022-06-01 13:29,320,을지로입구역 4번출구 앞,22,1136.96
SPB-37315,2022-06-01 13:29,807,서울역 12번 출구 앞,100,7360.54
SPB-48063,2022-06-01 13:29,488,푸르메병원,22,2200
SPB-31884,2022-06-01 13:29,488,푸르메병원,23,2402.22
SPB-59085,2022-06-01 13:29,349,사직동주민센터,56,3580
SPB-82333,2022-06-01 13:30,316,종각역 1번출구 앞,7,680
SPB-53701,2022-06-01 13:30,343,예일빌딩(율곡로) 앞,5,719.66
SPB-32290,2022-06-01 13:31,320,을지로입구역 4번출구 앞,21,2000.49
SPB-84422,2022-06-01 13:31,316,종각역 1번출구 앞,6,700
SPB-32071,2022-06-01 13:31,433,을지로입구역 2번출구,6,828.01
SPB-58075,2022-06-01 13:32,453,종로오가 지하쇼핑센터 14번출구,21,1630.04
SPB-51055,2022-06-01 13:32,477,앰배서더 호텔 주변,7,886.55
SPB-31139,2022-06-01 13:32,450,효자동 삼거리,22,3352.41
SPB-63409,2022-06-01 13:32,450,효자동 삼거리,22,3220
SPB-44538,2022-06-01 13:32,349,사직동주민센터,44,6316.69
SPB-60110,2022-06-01 13:33,393,동대문역 8번 출구,109,24700
SPB-60631,2022-06-01 13:33,349,사직동주민센터,43,7770
SPB-53830,2022-06-01 13:33,393,동대문역 8번 출구,31,4291.3
SPB-42521,2022-06-01 13:33,434,신당 래미안 버스정류장,11,1614.17
SPB-48976,2022-06-01 13:33,107,신한은행 서교동지점,12,1370
SPB-46589,2022-06-01 13:34,810,이태원지하보도,51,8580
SPB-84765,2022-06-01 13:34,518,청계천 박물관 앞,24,3140
SPB-41550,2022-06-01 13:34,328,탑골공원 앞,17,2576.05
SPB-39657,2022-06-01 13:34,438,성산2-1 공영주차장,12,1905.43
SPB-56178,2022-06-01 13:34,411,DMC홍보관,9,1470
SPB-56479,2022-06-01 13:35,490,가온문화공원,3,520
SPB-30578,2022-06-01 13:35,194,증산교 앞,56,11503.01
SPB-80065,2022-06-01 13:35,420,서울시 공공자전거 상암센터,9,520
SPB-41549,2022-06-01 13:35,186,월드컵공원,97,2977.02
SPB-35630,2022-06-01 13:35,184,7번가피자 서교망원점,12,1780.63
SPB-45843,2022-06-01 13:36,353,재동초교 앞 삼거리,35,3210
SPB-59193,2022-06-01 13:36,301,경복궁역 7번출구 앞,13,910
SPB-40832,2022-06-01 13:37,338,세운스퀘어 앞,11,1718.04
SPB-38254,2022-06-01 13:37,473,을지로4가역 9번출구,47,1096.54
SPB-33938,2022-06-01 13:37,420,서울시 공공자전거 상암센터,90,9152.46
SPB-53204,2022-06-01 13:38,305,종로구청 옆,9,990
SPB-57696,2022-06-01 13:38,305,종로구청 옆,9,921.54
SPB-61394,2022-06-01 13:38,349,사직동주민센터,18,1280
SPB-57996,2022-06-01 13:38,567,성수역 2번출구 앞,66,7780
SPB-82159,2022-06-01 13:38,413,상암월드컵파크 3단지 후문,9,1590
SPB-43733,2022-06-01 13:39,465,삼청공원 앞,4,541.96
SPB-61063,2022-06-01 13:40,458,광화문역 5번출구,9,1232.15
SPB-80976,2022-06-01 13:40,972,수색역,5,720
SPB-58485,2022-06-01 13:40,420,서울시 공공자전거 상암센터,9,1280
SPB-59019,2022-06-01 13:41,368,SK 서린빌딩 앞,9,1490
SPB-33681,2022-06-01 13:41,126,서강대 후문 옆,7,663.46
SPB-59861,2022-06-01 13:42,381,장충체육관,16,1210
SPB-34202,2022-06-01 13:42,371,동대입구역 6번출구 뒤,15,1509.41
SPB-46056,2022-06-01 13:42,422,문화비축기지,61,3430
SPB-31799,2022-06-01 13:42,371,동대입구역 6번출구 뒤,2,88.15
SPB-51055,2022-06-01 13:43,382,약수역 10번출구 앞,14,1572.98
SPB-51243,2022-06-01 13:43,382,약수역 10번출구 앞,70,1697.35
SPB-52159,2022-06-01 13:43,358,성대입구 사거리,18,299.9
SPB-42534,2022-06-01 13:43,455,종로6가역 버스정류장(동대문 방향),42,2571.26
SPB-61390,2022-06-01 13:43,807,서울역 12번 출구 앞,3,560
SPB-41834,2022-06-01 13:43,519,양지사거리,9,1377.25
SPB-52180,2022-06-01 13:43,416,상암월드컵파크 1단지 교차로,5,835.62
SPB-54980,2022-06-01 13:44,464,삼청동 골목,17,1930
SPB-53316,2022-06-01 13:44,461,서울지방경찰청,178,1556.79
SPB-63278,2022-06-01 13:44,341,혜화역 3번출구 뒤,6,1020
SPB-46596,2022-06-01 13:44,615,용두동 래미안허브리츠아파트 앞,71,6950
SPB-31430,2022-06-01 13:44,150,서강대역 2번출구 앞,6,637.83
SPB-82777,2022-06-01 13:45,342,대학로 마로니에공원,6,1720
SPB-49523,2022-06-01 13:45,383,신당역 12번 출구 뒤,99,10600
SPB-44627,2022-06-01 13:45,419,홈플러스 앞,118,5344.44
SPB-55964,2022-06-01 13:46,479,동대입구역 3번 출구,11,1427.78
SPB-46439,2022-06-01 13:46,420,서울시 공공자전거 상암센터,81,8130
SPB-58142,2022-06-01 13:46,558,성동광진 교육지원청 앞,16,2032.94
SPB-63323,2022-06-01 13:46,414,상암동주민센터 옆,9,880
SPB-53303,2022-06-01 13:47,403,부엉이공원 앞,2,0
SPB-58946,2022-06-01 13:47,403,부엉이공원 앞,2,370
SPB-30221,2022-06-01 13:47,912,응암오거리,12,2675.54
SPB-84654,2022-06-01 13:47,441,염천교사거리,1,330
SPB-41296,2022-06-01 13:47,302,경복궁역 4번출구 뒤,25,3249.41
SPB-56336,2022-06-01 13:47,302,경복궁역 4번출구 뒤,25,3680
SPB-58208,2022-06-01 13:47,414,상암동주민센터 옆,8,880
SPB-54383,2022-06-01 13:48,612,시립동부병원 앞 사거리,27,4970
SPB-31487,2022-06-01 13:48,485,서울역5번출구,55,2405.11
SPB-49065,2022-06-01 13:48,388,동성중학교 앞,5,420
SPB-33276,2022-06-01 13:48,472,삼일교(시그니쳐 타워),43,3017.64
SPB-56915,2022-06-01 13:49,339,종로4가 사거리,12,1320
SPB-30562,2022-06-01 13:49,339,종로4가 사거리,12,1245.71
SPB-35611,2022-06-01 13:49,454,종로2가 버스정류장 (종각방향),7,913.48
SPB-59389,2022-06-01 13:49,472,삼일교(시그니쳐 타워),42,2650
SPB-38201,2022-06-01 13:49,415,DMC역 9번출구 앞,18,2600.95
SPB-84442,2022-06-01 13:49,157,애오개역 4번출구 앞,3,580
SPB-59849,2022-06-01 13:49,613,신설동역 10번출구 앞,87,2700
SPB-36651,2022-06-01 13:49,111,상수역 2번출구 앞,76,7500.53
SPB-46776,2022-06-01 13:49,479,동대입구역 3번 출구,9,1500
SPB-38207,2022-06-01 13:50,391,시립미술관,2,0
SPB-43701,2022-06-01 13:50,427,성산시영아파트,8,1206.73
SPB-37552,2022-06-01 13:51,371,동대입구역 6번출구 뒤,9,898.66
SPB-58291,2022-06-01 13:51,301,경복궁역 7번출구 앞,55,4350.91
SPB-56079,2022-06-01 13:51,371,동대입구역 6번출구 뒤,9,850
SPB-45707,2022-06-01 13:52,457,종로꽃시장 입구 옆,23,2520
SPB-49460,2022-06-01 13:52,353,재동초교 앞 삼거리,93,2750
SPB-49495,2022-06-01 13:52,353,재동초교 앞 삼거리,94,2810
SPB-83406,2022-06-01 13:52,143,공덕역 2번출구,9,1090
SPB-55102,2022-06-01 13:52,111,상수역 2번출구 앞,73,6780
SPB-62932,2022-06-01 13:53,341,혜화역 3번출구 뒤,59,360
SPB-52462,2022-06-01 13:53,370,시청역(2호선) 9번출구 뒤,9,913.89
SPB-56762,2022-06-01 13:53,318,광교사거리 남측,24,4940
SPB-58254,2022-06-01 13:53,490,가온문화공원,38,2550.89
SPB-52281,2022-06-01 13:54,605,신설동역8번출구,49,6600
SPB-60413,2022-06-01 13:54,341,혜화역 3번출구 뒤,57,350
SPB-31929,2022-06-01 13:54,671,대광빌딩,4,111.2
SPB-36496,2022-06-01 13:54,103,망원역 2번출구 앞,44,5816.39
SPB-48990,2022-06-01 13:54,468,웨스틴 조선호텔,3,720
SPB-44905,2022-06-01 13:54,568,청계8가사거리 부근,8,1013.45
SPB-47712,2022-06-01 13:55,355,서울사대부속초교 앞,3,470
SPB-62243,2022-06-01 13:55,393,동대문역 8번 출구,40,5800
SPB-51357,2022-06-01 13:55,137,신촌기차역입구 교차로,15,948.34
SPB-34252,2022-06-01 13:55,103,망원역 2번출구 앞,42,5734.77
SPB-81191,2022-06-01 13:55,458,광화문역 5번출구,64,3000
SPB-56128,2022-06-01 13:56,383,신당역 12번 출구 뒤,10,1500.35
SPB-80093,2022-06-01 13:56,420,서울시 공공자전거 상암센터,184,6780
SPB-54270,2022-06-01 13:56,383,신당역 12번 출구 뒤,4,885.31
SPB-62316,2022-06-01 13:57,397,종묘공영주차장 건너편,15,2340
SPB-81051,2022-06-01 13:57,454,종로2가 버스정류장 (종각방향),16,1610
SPB-80931,2022-06-01 13:57,420,서울시 공공자전거 상암센터,183,6760
SPB-39288,2022-06-01 13:57,420,서울시 공공자전거 상암센터,190,1439.1
SPB-56672,2022-06-01 13:57,402,상암월드컵파크 9단지 앞,19,1840
SPB-50888,2022-06-01 13:58,346,맥스타일 앞,7,789.17
SPB-57081,2022-06-01 13:58,119,서강나루 공원,50,8590
SPB-51541,2022-06-01 13:59,382,약수역 10번출구 앞,10,1630
SPB-50843,2022-06-01 13:59,385,종각역 5번출구,1,0
SPB-32071,2022-06-01 13:59,458,광화문역 5번출구,59,2562.67
SPB-48836,2022-06-01 14:00,327,낙원상가 옆,15,1480
SPB-52475,2022-06-01 14:00,327,낙원상가 옆,15,1540.9
SPB-51976,2022-06-01 14:00,421,마포구청 앞,29,930
SPB-51758,2022-06-01 14:00,130,신촌역(2호선) 7번출구 앞,17,2390
SPB-49409,2022-06-01 14:00,130,신촌역(2호선) 7번출구 앞,18,2418.9
SPB-55417,2022-06-01 14:01,835,남영역 건너편,30,3540
SPB-55040,2022-06-01 14:01,308,광화문 S타워 앞,124,8595.44
SPB-54807,2022-06-01 14:01,326,안국역 5번출구 앞,5,640
SPB-51894,2022-06-01 14:01,385,종각역 5번출구,32,4781.2
SPB-49065,2022-06-01 14:01,358,성대입구 사거리,9,1130
SPB-81165,2022-06-01 14:01,671,대광빌딩,3,310
SPB-51827,2022-06-01 14:01,411,DMC홍보관,13,1687.51
SPB-61323,2022-06-01 14:02,328,탑골공원 앞,12,834.14
SPB-43912,2022-06-01 14:02,428,명보사거리,2,0
SPB-83579,2022-06-01 14:03,420,서울시 공공자전거 상암센터,72,2591.77
SPB-42164,2022-06-01 14:04,399,서울역 센트럴 자이아파트,18,1756.25
SPB-48796,2022-06-01 14:04,322,명동성당 앞,23,1780
SPB-39620,2022-06-01 14:04,322,명동성당 앞,23,1628.96
SPB-51113,2022-06-01 14:04,318,광교사거리 남측,18,1300.94
SPB-56079,2022-06-01 14:04,480,약수역 6번 출구,36,5160
SPB-41312,2022-06-01 14:04,349,사직동주민센터,68,4025.58
SPB-63457,2022-06-01 14:04,815,LIG강촌아파트 103동앞,50,6520
SPB-33681,2022-06-01 14:04,148,용강동 주민센터 앞,2,264.5
SPB-55019,2022-06-01 14:04,113,홍대입구역 2번출구 앞,5,892.43
SPB-42628,2022-06-01 14:05,393,동대문역 8번 출구,6,1240.84
SPB-34044,2022-06-01 14:05,485,서울역5번출구,51,2792.4
SPB-61829,2022-06-01 14:05,363,신설동역 11번출구 뒤,20,3451.61
SPB-58946,2022-06-01 14:05,400,상암한화오벨리스크 1차 앞,10,2310
SPB-84913,2022-06-01 14:05,420,서울시 공공자전거 상암센터,70,6120
SPB-46138,2022-06-01 14:05,413,상암월드컵파크 3단지 후문,9,1480
SPB-52180,2022-06-01 14:05,492,성산시영아파트 후문,112,1872.69
SPB-35754,2022-06-01 14:06,399,서울역 센트럴 자이아파트,17,2030.95
SPB-50888,2022-06-01 14:06,361,동묘앞역 1번출구 뒤,9,822.99
SPB-33313,2022-06-01 14:06,383,신당역 12번 출구 뒤,6,957.58
SPB-43692,2022-06-01 14:07,307,서울역사박물관 앞,15,1656.13
SPB-42658,2022-06-01 14:07,339,종로4가 사거리,40,2883.79
SPB-59193,2022-06-01 14:07,458,광화문역 5번출구,25,3090
SPB-32460,2022-06-01 14:07,318,광교사거리 남측,15,1370
SPB-38067,2022-06-01 14:07,318,광교사거리 남측,15,1425.99
SPB-84995,2022-06-01 14:07,434,신당 래미안 버스정류장,7,2140
SPB-53211,2022-06-01 14:07,996,응암역2번출구 국민은행 앞,29,3721.23
SPB-48990,2022-06-01 14:07,458,광화문역 5번출구,13,1200
SPB-53146,2022-06-01 14:07,363,신설동역 11번출구 뒤,1,0
