번호,홍보비,제작비,예산,영화길이_분,남자_주연_배우_순위,여_주연_배우_순위,디렉터_순위,프로듀서_순위,비평가_순위,트레일러_뷰수,3D_가능여부,트위터_해시태그_수,장르,배우_평균_나이
250,23.2878,66.72,35735.315,122.6,5.975,6.13,6.055,6.185,7.18,504043,Y,303.92,Thriller,43
251,23.8146,66.72,37318.49,91,5.96,6.2,5.96,6.23,8.18,531248,Y,224.192,Comedy,39
252,22.806,66.72,36035.285,86.5,6.25,6.34,6.185,6.43,7.18,522769,Y,283.904,Thriller,38
253,24.2818,66.72,35763.09,82.4,6.285,6.41,6.295,6.215,7.18,548870,N,243.968,Drama,50
254,21.6442,66.72,38646.135,80.3,5.41,5.575,5.45,5.755,7.18,534094,N,244.736,Action,57
255,27.3788,66.72,45878.745,81.9,5.485,5.555,5.465,5.68,7.18,518247,N,266.848,Thriller,53
256,20.9638,62.28,33929.94,105.5,5.305,5.495,5.345,5.42,7.72,528690,N,243.504,Thriller,56
257,20.7096,62.28,32641.18,92.6,5.385,5.445,5.26,5.47,7.72,459998,N,303.344,Comedy,31
258,20.3076,62.5,41406.97,107.7,6.67,6.985,6.665,7.01,8.82,524356,N,267.04,Thriller,38
259,32.2308,62.94,48350.72,160.4,8.955,9.235,9.085,9.12,9.4,530690,Y,228,Thriller,54
260,33.2702,62.94,40734.815,173.5,8.9,9.13,8.99,9.195,8.4,477252,Y,305.76,Thriller,58
261,33.133,62.94,38007.31,173.5,8.9,9.09,8.84,9.145,8.4,483741,Y,224.816,Thriller,40
262,30.8022,62.94,40012.665,155.3,8.94,9.025,8.815,8.995,9.4,483080,Y,225.408,Drama,21
263,30.6824,62.94,41773.6,162.9,8.8,9,8.925,9,9.4,526451,Y,226.896,Action,24
264,30.4028,62.94,46650.89,165,8.725,8.98,8.805,8.915,8.4,511151,Y,307.808,Thriller,24
265,36.5052,62.94,40701.485,168,8.795,8.99,8.895,9.16,8.4,450060,Y,224.96,Comedy,60
266,31.0014,62.94,40029.33,165.1,9.02,9.045,8.89,9.185,8.4,503379,Y,285.84,Thriller,36
267,35.2324,62.94,30885.8,136.3,8.95,9.015,8.97,9.095,8.4,458883,N,263.648,Comedy,59
268,35.714,62.94,38962.77,158.1,8.89,9.07,8.82,8.955,9.4,440617,N,204.912,Thriller,41
269,31.5668,62.94,46089.835,140.5,8.7,8.935,8.785,8.74,9.4,495431,Y,308,Comedy,42
270,30.81,62.94,41495.85,126.1,8.415,8.69,8.51,8.645,9.4,558567,N,306.96,Drama,43
271,21.813,68.92,32885.6,135,7.89,8.185,8.015,8.075,8.28,442828,N,283.312,Action,29
272,25.9832,68.92,32530.08,115.6,7.67,7.895,7.745,7.83,7.28,448615,Y,303.376,Comedy,27
273,23.2422,68.92,34663.2,89.8,7.72,7.815,7.655,7.95,7.28,527157,N,204.032,Thriller,25
274,22.292,68.92,36318.59,132.2,7.995,8.185,7.94,8.045,7.28,502420,Y,263.904,Thriller,40
275,24.4376,68.92,42723.505,125.3,7.735,7.95,7.76,7.82,8.28,522502,Y,205.632,Thriller,39
276,21.1288,67.82,37540.69,106.4,7.9,8.01,7.81,8.12,8.48,510207,N,245.184,Thriller,30
277,21.9208,67.82,38073.97,116.3,7.86,7.95,7.73,7.925,8.48,532339,Y,245.12,Thriller,23
278,22.0938,67.82,40368.185,122.5,7.53,7.66,7.515,7.72,7.48,490028,N,225.312,Drama,35
279,21.2254,67.82,37918.43,101.1,7.43,7.58,7.54,7.725,7.48,516911,N,225.296,Thriller,21
280,21.5956,67.82,36007.51,105.6,7.89,7.96,7.8,8.075,8.48,504442,Y,204.656,Thriller,38
281,24.2076,61.66,37840.66,105.7,7.825,8.04,7.89,8.045,9.02,504458,N,245.616,Drama,26
282,20.7156,61.66,43440.1,138,7.51,7.665,7.58,7.855,9.02,538611,N,207.264,Comedy,50
283,20.741,61.66,38707.24,110.7,7.225,7.54,7.215,7.53,9.02,546620,Y,285.664,Comedy,48
284,21.2258,61.66,42467.975,123.2,7.27,7.53,7.285,7.495,8.02,524593,Y,247.36,Drama,25
285,20.3002,57.42,44012.265,98.3,6.925,7.08,7.015,7.21,9.28,564706,Y,268,Drama,20
286,20.1812,60.94,39373.84,94.3,6.28,6.5,6.18,6.425,7.94,489220,Y,245.152,Action,30
287,20.2192,59.5,35846.415,105.4,6.335,6.445,6.26,6.345,7.94,511643,Y,283.52,Comedy,55
288,20.393,58.52,34607.65,105,5.395,5.54,5.295,5.595,8.36,449001,Y,203.216,Comedy,39
289,20.7742,65.64,34490.995,104.8,6.275,6.4,6.21,6.475,7.68,514434,Y,283.712,Drama,60
290,20.918,65.64,35079.825,119.1,6.185,6.48,6.27,6.43,7.68,498744,N,243.568,Thriller,22
291,20.8594,65.64,36468.575,96.4,6.335,6.505,6.275,6.25,8.68,459056,N,283.968,Comedy,60
292,20.7004,64.9,38112.855,101.4,7.39,7.59,7.42,7.365,7.16,566644,Y,224.56,Thriller,53
293,21.5772,64.9,39707.14,101.2,7.44,7.515,7.295,7.515,8.16,542840,Y,205.968,Comedy,37
294,20.723,64.9,36829.65,96.9,7.375,7.48,7.315,7.595,8.16,529498,N,244.464,Thriller,37
295,21.653,82.84,34035.485,91.9,7.12,7.305,7.165,7.4,7.8,486691,Y,283.824,Thriller,46
296,21.6398,82.84,33379.995,115.8,7.23,7.265,7.22,7.28,7.8,481269,N,223.472,Drama,23
297,22.5864,82.84,37096.29,104.6,6.9,7.135,6.965,7.08,8.8,534560,Y,204.576,Thriller,44
298,21.0744,82.84,36379.695,124.5,6.89,7.125,6.865,7.195,7.8,479856,N,204.336,Comedy,26
299,22.8206,82.84,32163.45,131.5,6.72,6.85,6.825,6.965,7.8,405787,Y,223.248,Comedy,42
300,21.2932,59.48,35246.475,93.6,6,6.165,5.985,6.195,9.04,517172,N,263.6,Drama,48
301,21.1122,59.48,39112.755,83.5,6.08,6.095,5.945,6.22,8.04,524749,Y,224.64,Drama,36
302,20.8834,59.48,38168.405,120.9,5.955,6.16,6.055,6.175,9.04,503113,Y,223.968,Thriller,29
303,20.7074,67.18,36607.45,113.9,7.185,7.4,7.25,7.175,8.78,456975,Y,243.52,Thriller,21
304,21.8532,67.18,36079.725,91.9,7.1,7.4,7.16,7.36,8.78,495797,Y,224.224,Action,42
305,22,67.18,38785.01,91.2,7.095,7.32,7.245,7.355,8.78,546989,N,285.296,Comedy,34
306,21.103,59.36,40195.98,114.6,7.95,8.02,7.955,8.03,7.32,525924,N,205.776,Thriller,55
307,21.0958,59.36,36751.88,131.6,8.185,8.475,8.175,8.425,7.32,462490,N,304.544,Comedy,22
308,21.5006,59.36,41218.1,145.4,8.345,8.54,8.36,8.555,7.32,497990,Y,245.344,Thriller,23
309,20.9864,59.36,38046.195,143.8,8.36,8.555,8.345,8.375,8.32,490857,Y,244.512,Action,46
310,29.8596,74.8,36857.425,156,8.215,8.38,8.295,8.475,7.32,539571,N,223.648,Thriller,31
311,26.988,74.8,33174.46,150.2,8.3,8.545,8.36,8.59,8.32,491345,Y,223.248,Comedy,51
312,72.7096,74.8,27625.015,111.3,8.685,8.86,8.685,8.735,7.32,447032,N,222.576,Thriller,27
313,35.8082,74.8,34007.71,126.3,8.555,8.83,8.615,8.725,7.32,501252,Y,303.536,Thriller,46
314,25.2338,74.8,33457.765,163.9,8.5,8.665,8.425,8.745,7.32,475124,Y,263.104,Comedy,26
315,25.3876,74.8,34807.63,156.3,8.31,8.51,8.295,8.36,8.32,474736,Y,283.456,Comedy,33
316,27.384,74.8,36479.685,160.8,8.04,8.345,8.1,8.305,7.32,483058,Y,263.808,Drama,56
317,25.0712,74.8,31691.275,151.2,7.99,8.1,7.945,8.075,7.32,482381,N,242.592,Thriller,58
318,26.3654,74.8,32852.27,156.7,7.9,8.09,7.96,8.055,7.32,387823,N,242.848,Thriller,43
319,24.9044,74.8,32119.01,145.2,7.935,8.03,7.83,8.135,8.32,401740,N,243.168,Thriller,50
320,28.0404,74.8,35452.01,140.7,8.1,8.325,8.21,8.3,8.32,478332,N,203.696,Comedy,53
321,29.5094,74.8,33957.715,132.3,7.965,8.07,7.88,8.08,7.32,471282,N,243.36,Action,36
322,23.352,69.76,35696.43,125.8,7.63,7.84,7.615,7.83,8.08,510893,Y,263.808,Thriller,48
323,23.6318,69.76,35418.68,127.8,7.575,7.81,7.595,7.94,8.08,484440,Y,283.696,Drama,40
324,27.0228,69.76,33557.755,123.4,7.535,7.785,7.565,7.67,8.08,491464,N,263.264,Comedy,40
325,25.6784,69.76,31707.94,147.8,7.545,7.7,7.55,7.765,8.08,446743,Y,302.96,Comedy,25
326,26.8218,69.76,35635.325,113.6,7.5,7.75,7.49,7.82,7.08,528887,N,304,Thriller,52
327,23.8372,69.76,35724.205,88.2,7.245,7.45,7.215,7.255,8.08,533713,N,303.936,Comedy,45
328,26.0694,69.76,35063.16,102.4,7.265,7.455,7.145,7.3,7.08,509852,Y,243.68,Thriller,36
329,24.8206,69.76,33791.065,117.2,7.205,7.31,7.26,7.395,8.08,448684,N,303.552,Comedy,27
330,21.3234,61.48,32596.74,99.3,7.29,7.47,7.265,7.54,8.62,483140,Y,203.088,Drama,35
331,21.3448,61.48,35179.815,90.7,7.32,7.46,7.275,7.515,8.62,483051,N,283.616,Comedy,53
332,20.9088,61.48,34129.92,105.7,6.99,7.225,7.05,6.985,7.62,465165,N,223.168,Thriller,26
333,21.0046,67.12,31696.83,101.9,6.665,6.72,6.67,6.665,8.62,450203,N,282.736,Drama,21
334,20.6932,67.12,33502.205,96.8,6.525,6.71,6.6,6.885,8.62,480695,Y,283.104,Comedy,22
335,21.0166,65.38,35085.38,111.6,6.62,6.9,6.735,6.83,7.96,536791,N,223.552,Comedy,34
336,20.7476,65.38,35052.05,112,6.74,6.83,6.655,6.855,6.96,505077,Y,303.312,Action,53
337,20.7922,65.38,33535.535,108,6.87,7.15,6.865,7.145,6.96,477685,Y,283.376,Comedy,57
338,20.6854,65.38,32602.295,119.8,7.25,7.545,7.25,7.495,6.96,483878,N,303.12,Thriller,53
339,20.6082,65.38,32746.725,133.1,7.07,7.255,7.16,7.285,7.96,452920,Y,242.96,Thriller,21
340,20.6612,65.38,33657.745,110.8,7.545,7.74,7.465,7.625,7.96,466294,Y,283.296,Thriller,26
341,21.0994,65.38,33246.675,118.9,7.555,7.68,7.475,7.665,6.96,457316,N,223.04,Drama,28
342,21.2302,65.38,33152.24,132,7.47,7.62,7.515,7.77,7.96,459687,Y,262.992,Comedy,20
343,20.2602,58.04,40223.755,122.8,6.34,6.52,6.41,6.655,8.9,516919,Y,265.232,Comedy,48
344,20.4996,58.78,36329.7,133.2,6.77,6.895,6.705,7.095,7.82,494604,Y,222.64,Thriller,40
345,20.5086,62.56,37196.28,129.9,6.985,7.19,7.08,7.28,7.48,480187,Y,303.824,Action,52
346,20.6098,62.56,38185.07,101.6,6.645,6.91,6.665,6.85,8.48,534902,N,224.992,Thriller,23
347,20.6226,63.78,33407.77,122,5.88,6.045,5.885,6.165,7.24,494404,Y,262.8,Drama,26
348,21.2324,63.78,32763.39,125.8,5.965,6.075,5.835,6.095,7.24,459385,N,262.752,Thriller,46
349,20.374,63.3,36196.38,101.2,5.565,5.855,5.71,5.795,8.42,485496,Y,243.696,Drama,47
350,20.3002,59.02,36857.425,103.2,5.69,5.91,5.73,5.985,8.6,507911,Y,263.92,Comedy,45
351,20.5798,57.5,38546.145,108,5.56,5.73,5.515,5.605,8.06,495540,Y,224.256,Comedy,30
352,21.2422,57.5,36051.95,117.9,5.5,5.685,5.445,5.785,8.06,530639,N,303.664,Thriller,55
353,21.59,58.38,36546.345,109.4,4.51,4.785,4.575,4.705,7.34,528366,Y,203.856,Thriller,45
354,21.4488,58.38,32685.62,92,4.585,4.725,4.515,4.75,8.34,500120,Y,222.976,Thriller,50
355,20.3418,59.04,37374.04,109.6,3.84,4.035,3.84,4.03,8.6,502830,Y,244.816,Drama,40
356,20.8602,58.82,31457.965,95.4,4.62,4.815,4.62,4.775,7.6,484954,N,242.912,Comedy,34
357,22.1318,58.82,32974.48,93,4.59,4.75,4.69,4.8,6.6,503151,N,263.296,Thriller,53
358,199.6592,91.2,34507.66,170.9,8.92,9.095,8.785,8.955,6.96,399154,N,282.848,Comedy,39
359,96.994,91.2,35524.225,164.5,8.585,8.775,8.69,8.94,7.96,465805,N,263.472,Drama,56
360,124.0354,91.2,34035.485,156.9,8.52,8.8,8.55,8.685,6.96,473168,N,303.632,Action,42
361,105.2262,91.2,33952.16,154.8,8.61,8.81,8.72,8.845,6.96,437945,N,283.616,Drama,26
362,110.8384,91.2,35540.89,161.5,8.635,8.79,8.655,8.885,6.96,486963,N,204,Comedy,37
363,96.7368,91.2,34724.305,164.6,8.71,9.01,8.85,8.84,6.96,456314,Y,263.184,Thriller,56
364,93.5644,91.2,29785.91,169.7,8.865,9.1,8.895,8.93,6.96,450482,N,283.328,Drama,52
365,104.4478,91.2,32235.665,162.5,9.01,9.15,9.015,9.015,7.96,439085,Y,302.688,Action,57
366,89.4856,91.2,48772.9,156.4,9.015,9.145,9.04,8.99,6.96,493047,N,243.504,Thriller,26
367,111.1174,91.2,19781.355,161.4,9.185,9.225,9.16,9.205,6.96,527849,Y,244.4,Thriller,51
368,93.939,91.2,27569.465,164.9,8.96,9.225,9.07,9.245,7.96,417956,N,283.504,Drama,58
369,290.444,91.2,21458.965,173.5,9.235,9.305,9.23,9.215,7.96,466467,N,223.696,Drama,24
370,117.9644,91.2,27608.35,173.5,9.265,9.445,9.24,9.385,7.96,549584,N,268,Thriller,41
371,133.3996,91.2,37124.065,170.3,9.225,9.36,9.175,9.53,7.96,513408,Y,308,Thriller,58
372,150.7752,91.2,38973.88,171,9.3,9.54,9.4,9.36,6.96,523799,Y,248,Comedy,46
373,204.646,91.2,34529.88,173.5,9.31,9.525,9.32,9.505,7.96,454281,Y,268,Comedy,25
374,185.345,91.2,32635.625,163.1,9.435,9.495,9.375,9.44,6.96,464886,Y,248,Comedy,57
375,242.162,91.2,27252.83,173.5,9.26,9.505,9.36,9.525,7.96,237541,Y,262.208,Comedy,56
376,389.964,91.2,22986.59,173.5,9.27,9.48,9.425,9.55,6.96,215432,N,262.208,Drama,35
377,412.182,91.2,40623.715,171.4,9.19,9.345,9.195,9.635,7.96,440970,N,302.4,Comedy,45
378,325.76,91.2,36935.195,166.8,9.175,9.445,9.315,9.375,7.96,362344,Y,302.224,Comedy,26
379,216.4698,91.2,37740.67,172.3,9.215,9.465,9.24,9.365,7.96,349344,Y,282.128,Comedy,22
380,492.964,91.2,35440.9,169.7,9.24,9.39,9.235,9.365,6.96,359760,Y,282.096,Drama,54
381,377.334,91.2,34568.765,173.5,9.26,9.435,9.26,9.27,7.96,353650,N,221.632,Action,46
382,1799.524,91.2,38707.24,165.4,9.17,9.43,9.155,9.41,6.96,417588,Y,281.664,Comedy,21
383,337.488,91.2,36357.475,172.6,9.11,9.35,9.18,9.325,6.96,382857,N,201.744,Action,60
384,203.7404,91.2,30752.48,173.5,9.05,9.225,9.14,9.43,7.96,362581,Y,221.808,Thriller,46
385,179.8496,91.2,30663.6,173.5,9.145,9.335,9.14,9.31,7.96,339764,N,301.968,Drama,41
386,421.698,91.2,24264.24,164.7,9.25,9.33,9.26,9.28,7.96,269764,N,281.408,Thriller,25
387,356.236,91.2,29313.735,171.6,9.27,9.385,9.19,9.3,6.96,267965,N,261.152,Action,36
388,507.876,91.2,25841.86,173.5,9.145,9.32,9.14,9.46,7.96,291349,Y,301.68,Thriller,34
389,471.942,91.2,27775,163,9.105,9.26,9.115,9.48,7.96,276179,N,301.184,Action,54
390,306.674,91.2,27108.4,173.5,9.115,9.315,9.175,9.215,6.96,278464,N,201.632,Drama,25
391,183.0348,91.2,29941.45,172.4,9,9.25,9.025,9.265,7.96,369811,N,241.84,Action,51
392,159.243,91.2,31735.715,170.5,8.9,9.145,8.885,9.22,6.96,416162,Y,222.416,Thriller,20
393,125.861,91.2,33613.305,156,8.915,9.045,8.76,8.94,7.96,412194,Y,203.712,Thriller,53
394,251.558,91.2,27974.98,170.5,9.01,9.125,9.035,9.29,6.96,317358,N,281.552,Comedy,51
395,192.8952,91.2,34402.115,166.1,9.055,9.17,8.955,9.235,7.96,437541,N,282.208,Thriller,55
396,287.196,91.2,32702.285,168.2,9.005,9.23,8.97,9.23,7.96,420044,N,302.032,Comedy,40
397,194.335,91.2,35946.405,172.3,8.98,9.26,9.085,9.225,7.96,424127,N,302.096,Action,29
398,137.441,91.2,35579.775,169.5,9.115,9.18,9.1,9.255,6.96,390048,Y,222,Thriller,24
399,173.4404,91.2,31924.585,172.4,9.135,9.23,9.125,9.24,6.96,384688,N,281.36,Comedy,22
400,787.036,91.2,30291.415,173.5,9.215,9.37,9.105,9.33,6.96,291101,N,260.8,Drama,26
401,218.331,91.2,32507.86,151.3,9.15,9.38,9.14,9.33,6.96,270691,N,281.008,Thriller,42
402,520.922,91.2,33257.785,173.5,9.135,9.31,9.04,9.335,7.96,308973,Y,220.896,Drama,30
403,304.724,91.2,35235.365,173.5,9.12,9.33,9.095,9.305,7.96,374897,unknown,201.152,Comedy,50
404,211.9142,91.2,35574.22,173.5,9.17,9.32,9.115,9.12,7.96,359036,N,281.936,Thriller,42
405,516.034,91.2,29713.695,169.5,9.125,9.31,9.06,9.1,6.96,384237,Y,301.328,Thriller,40
406,850.584,91.2,30724.705,158.9,9.05,9.22,9.185,9.33,7.96,312011,N,221.36,Comedy,56
407,1378.416,91.2,31569.065,173.5,9.235,9.405,9.28,9.23,6.96,342621,Y,280.8,Thriller,38
408,434.324,91.2,22986.59,173.5,9.27,9.495,9.3,9.58,6.96,352670,Y,281.904,Thriller,53
409,259.022,91.2,31152.44,173.5,9.27,9.46,9.305,9.39,7.96,434373,Y,264.464,Thriller,26
410,168.0778,91.2,31202.435,171.4,9.235,9.325,9.215,9.315,6.96,316479,N,242.752,Thriller,25
411,308.766,91.2,38062.86,173.5,9.24,9.36,9.26,9.21,6.96,399184,Y,284.4,Drama,57
412,1042.716,91.2,31980.135,173.5,9.155,9.34,9.21,9.47,6.96,474055,N,222.4,Thriller,52
413,301.014,91.2,36979.635,173.5,9.22,9.295,9.17,9.26,7.96,353054,N,282.752,Comedy,44
414,396.22,91.2,25708.54,173.5,9.115,9.23,9.11,9.435,7.96,233720,N,302.864,Comedy,40
415,593.116,91.2,28636.025,173.5,9.08,9.315,9.195,9.235,7.96,375488,N,282.608,Thriller,58
416,934.922,91.2,25103.045,173.5,9.13,9.25,9.05,9.255,7.96,212912,unknown,241.12,Thriller,40
417,381.692,91.2,35740.87,173.5,9.06,9.125,9.08,9.065,6.96,302506,N,221.152,Comedy,59
418,236.684,91.2,37674.01,164.3,9.05,9.23,8.98,9.1,7.96,335532,Y,201.2,Thriller,35
419,538.812,91.2,29463.72,162.6,9.135,9.305,9.095,9.165,6.96,302776,Y,301.664,Action,60
420,1490.682,91.2,33091.135,173.5,9.02,9.155,9.075,9.15,7.96,383325,N,241.408,Comedy,52
421,256.246,91.2,37907.32,150,8.975,9.105,8.96,9.375,7.96,362317,N,261.344,Comedy,26
422,241.748,91.2,35613.105,173.5,9.035,9.095,9.06,9.095,6.96,431269,Y,262.672,Action,48
423,160.4518,91.2,33363.33,168.8,9.01,9.215,9.06,8.965,7.96,434982,N,202.272,Comedy,29
424,260.964,91.2,31374.64,161.1,8.935,9.03,8.9,9.23,7.96,455145,N,223.328,Comedy,36
425,161.0084,91.2,33902.165,158.6,8.96,9.1,8.83,9.065,7.96,340669,N,1622.4,Drama,29
426,195.8424,91.2,30913.575,144.1,8.87,9.005,8.81,9.185,6.96,398327,N,221.872,Comedy,57
427,337.206,91.2,32752.28,168.9,8.925,9.145,9.015,9.095,7.96,349335,Y,301.328,Drama,51
428,264.944,91.2,32424.535,133.2,8.865,9.165,8.905,9.07,6.96,401981,N,281.632,Comedy,33
429,773.238,91.2,34452.11,152.2,8.965,9.17,8.94,9.2,7.96,439565,N,221.744,Drama,42
430,167.3422,91.2,34402.115,151.6,8.94,9.07,9.005,9.11,7.96,356325,Y,241.76,Thriller,45
431,206.7778,91.2,35440.9,169.1,9.01,9.155,8.935,8.965,7.96,354854,unknown,241.52,Comedy,52
432,189.8426,91.2,35263.14,159.6,8.86,9.105,8.92,9.005,6.96,416738,N,222.32,Thriller,53
433,221.246,91.2,37957.315,167.8,8.95,9.055,8.865,8.955,7.96,388831,Y,282.256,Drama,29
434,148.881,91.2,35690.875,148.3,8.8,9.04,8.83,8.93,7.96,458882,Y,202.576,Comedy,42
435,131.6214,91.2,35751.98,161.4,8.83,8.885,8.8,8.85,7.96,418275,N,202.288,Action,46
436,298.268,91.2,34485.44,168.5,8.78,8.955,8.845,8.975,7.96,420282,N,221.872,Comedy,37
437,243.208,91.2,36824.095,168.1,8.925,9.015,8.93,8.88,7.96,338798,N,242.144,Action,46
438,308.416,91.2,35890.855,166.8,8.84,9.09,8.945,9.125,6.96,404986,Y,201.536,Thriller,57
439,323.544,91.2,34174.36,173.5,8.995,9.07,9.015,9.095,6.96,321678,N,221.312,Comedy,60
440,293.562,91.2,32968.925,161.4,9.075,9.195,9.065,9.025,6.96,257073,Y,281.344,Comedy,57
441,207.8126,91.2,31257.985,167.4,9.065,9.14,8.995,9.165,6.96,334563,Y,302.048,Comedy,50
442,461.022,91.2,32318.99,165.9,8.985,9.17,9.02,9.095,7.96,360183,N,241.68,Comedy,38
443,214.4836,91.2,35585.33,170.7,8.835,9.015,8.92,9.095,6.96,373307,Y,302.736,Action,58
444,133.3274,91.2,34546.545,173.5,8.96,9.015,8.985,9.03,7.96,393382,N,282.368,Thriller,54
445,219.3308,91.2,36024.175,173.5,8.855,9.1,8.9,9.19,6.96,387633,N,282.464,Thriller,21
446,276.046,91.2,32518.97,170.1,9.035,9.105,8.965,9.1,7.96,346747,N,241.728,Action,34
447,233.436,91.2,35879.745,168.3,8.9,9.15,8.995,8.98,6.96,342695,unknown,241.888,Thriller,28
448,145.7614,91.2,35224.255,169.9,8.885,8.98,8.89,9.105,7.96,401882,N,302.384,Comedy,41
449,218.497,91.2,34724.305,170.1,8.745,8.995,8.885,8.98,7.96,397006,Y,222.016,Comedy,37
450,206.5818,91.2,34357.675,172.2,8.785,8.9,8.815,8.98,6.96,416481,Y,262.256,Comedy,52
451,170.5202,91.2,35646.435,171.8,8.75,8.945,8.905,9.03,6.96,400065,Y,242.08,Comedy,27
452,154.3544,91.2,37490.695,166.1,8.8,8.945,8.815,8.8,7.96,401512,Y,262.144,Drama,59
453,128.8228,91.2,36968.525,171.7,8.745,8.885,8.675,8.985,6.96,390279,Y,222.432,Comedy,41
454,121.8034,91.2,34979.835,165.3,8.76,8.87,8.815,8.82,7.96,411619,N,302.576,Comedy,21
455,184.9618,91.2,41068.115,172.8,8.615,8.845,8.68,8.955,6.96,407077,unknown,222.848,Thriller,42
456,210.2726,91.2,37374.04,167.6,8.75,8.9,8.625,8.73,6.96,402950,N,282.304,Thriller,34
457,115.0474,91.2,36246.375,160,8.695,8.79,8.63,9.015,6.96,408819,N,282.256,Thriller,36
458,113.3766,91.2,33196.68,161.4,8.675,8.85,8.61,8.705,6.96,369607,N,302.032,Thriller,31
459,184.0116,91.2,32974.48,153.8,8.57,8.755,8.595,8.52,7.96,402267,N,262.16,Comedy,46
460,175.0446,91.2,35002.055,157.2,8.45,8.715,8.59,8.675,7.96,425095,N,302.384,Thriller,39
461,156.0234,91.2,33779.955,157.9,8.63,8.76,8.6,8.575,7.96,438369,Y,283.2,Drama,27
462,116.2426,91.2,37224.055,163.5,8.55,8.81,8.685,8.76,7.96,401242,Y,242.624,Thriller,29
463,93.8622,91.2,35418.68,161.9,8.59,8.885,8.705,8.69,7.96,416540,Y,262.832,Comedy,24
464,153.0984,91.2,35090.935,156.5,8.48,8.785,8.6,8.665,7.96,455177,N,303.12,Thriller,22
465,136.423,91.2,36179.715,163.4,8.47,8.695,8.58,8.65,6.96,474433,Y,303.232,Comedy,30
466,176.7864,91.2,34490.995,138.9,8.42,8.56,8.45,8.64,7.96,456948,N,223.424,Action,55
467,83.272,91.2,31991.245,121.7,8.37,8.595,8.365,8.54,6.96,431316,N,243.184,Comedy,43
468,95.4996,91.2,33063.36,158.2,8.435,8.73,8.46,8.63,7.96,389121,Y,203.04,Comedy,21
469,108.4456,91.2,33346.665,168,8.68,8.895,8.575,8.77,7.96,354464,N,263.056,Action,21
470,331.514,91.2,32918.93,144.5,8.52,8.55,8.44,8.67,6.96,383739,N,303.056,Comedy,28
471,281.502,91.2,31735.715,130.2,8.49,8.705,8.44,8.715,6.96,437878,N,263.216,Comedy,27
472,106.9758,91.2,34257.685,157.5,8.39,8.515,8.47,8.555,7.96,399291,N,243.184,Thriller,36
473,100.7682,91.2,34602.095,164.2,8.36,8.605,8.415,8.425,6.96,455983,unknown,263.136,Action,52
474,91.3736,91.2,35757.535,148.5,8.48,8.685,8.495,8.55,7.96,421532,Y,303.712,Action,39
475,112.9378,91.2,38773.9,141.1,8.615,8.825,8.73,8.765,6.96,469624,Y,304.768,Action,56
476,181.1158,91.2,30146.985,168.9,8.695,8.835,8.72,8.895,7.96,418266,N,222.208,Action,47
477,147.8624,91.2,34229.91,170.9,8.75,8.915,8.75,9.175,7.96,348948,Y,222.128,Drama,27
478,117.4282,91.2,36018.62,167.1,8.71,8.85,8.76,9.075,7.96,373575,Y,282.672,Thriller,22
479,320.468,91.2,29463.72,170.8,8.86,9.005,8.795,9.135,6.96,340338,N,301.92,Drama,39
480,224.66,91.2,34357.675,170.2,8.855,9.01,8.82,8.975,7.96,382809,unknown,302.336,Drama,60
481,306.674,91.2,34602.095,161.5,8.865,9.09,8.96,9.185,6.96,457225,N,203.424,Thriller,32
482,136.4802,91.2,34674.31,138.2,8.26,8.31,8.14,8.445,6.96,471764,N,263.68,Thriller,22
483,134.1636,91.2,37496.25,148.4,8.28,8.37,8.31,8.38,7.96,488266,N,303.792,Comedy,46
484,134.6232,91.2,39223.855,150.5,8.165,8.335,8.27,8.41,6.96,517077,N,224,Drama,29
485,76.3676,91.2,32007.91,113.8,7.795,8.055,7.875,8.075,7.96,481869,N,283.488,Action,57
486,67.5714,91.2,32613.405,115.4,8.035,8.22,8.115,8.185,7.96,438045,Y,243.296,Drama,31
487,93.4734,91.2,35063.16,125.4,7.985,8.075,7.965,7.995,7.96,465487,N,263.392,Action,51
488,133.835,91.2,33963.27,153.3,8.225,8.33,8.12,8.235,6.96,435929,Y,243.056,Comedy,57
489,116.7134,91.2,32802.275,126.7,8.32,8.575,8.42,8.385,6.96,451515,N,223.296,Comedy,44
490,23.0172,110.48,30296.97,166.2,8.95,9.215,9.02,9.175,7.98,411264,N,282.432,Comedy,28
491,23.6674,110.48,30074.77,171.8,8.96,9.235,9.03,9.26,6.98,351221,N,301.12,Comedy,29
492,24.1492,110.48,28291.615,171.5,9.015,9.2,9.025,9.115,7.98,286130,Y,201.296,Action,49
493,22.1148,110.48,33235.565,172.3,9.02,9.155,8.97,9.12,6.98,382738,N,282.176,Comedy,47
494,22.2264,110.48,33235.565,157,8.875,9.09,8.94,8.88,6.98,434825,Y,263.216,Thriller,57
495,23.4662,74.38,31702.385,127.5,8.65,8.865,8.79,8.93,8.16,441556,Y,283.488,Thriller,31
496,25.5914,74.38,32918.93,116.1,8.725,8.93,8.805,8.78,7.16,462430,Y,223.92,Thriller,47
497,23.5798,74.38,31496.85,102.3,8.46,8.755,8.465,8.72,8.16,394787,N,283.696,Action,55
498,25.792,74.38,29941.45,146.4,8.57,8.695,8.51,8.63,7.16,380129,N,243.152,Thriller,44
499,25.3676,74.38,32185.67,144.1,8.48,8.705,8.47,8.56,7.16,426044,Y,282.928,Drama,55
