학교명,설립구분,1학년전입학생수,1학년전출학생수,1학년전체학생수,2학년전입학생수,2학년전출학생수,2학년전체학생수,3학년전입학생수,3학년전출학생수,3학년전체학생수,4학년전입학생수,4학년전출학생수,4학년전체학생수,5학년전입학생수,5학년전출학생수,5학년전체학생수,6학년전입학생수,6학년전출학생수,6학년전체학생수,전입학생수합계,전출학생수합계,전체학생수합계
명진초등학교,공립,7,3,113,5,6,93,12,4,122,5,4,111,4,5,118,5,5,105,38,27,662
학사초등학교,공립,0,3,96,3,4,97,5,4,78,3,2,90,6,3,99,2,2,91,19,18,551
화잠초등학교,공립,1,4,82,5,6,72,5,4,82,1,9,82,4,6,65,5,3,85,21,32,468
인지초등학교,공립,3,2,89,8,6,127,12,11,120,6,7,126,8,9,142,3,4,103,40,39,707
용문초등학교,공립,4,0,142,9,5,153,6,9,183,7,1,176,6,4,193,5,8,194,37,27,1041
을숙도초등학교,공립,4,2,111,3,7,112,6,3,123,6,5,120,2,0,104,2,8,152,23,25,722
금샘초등학교,공립,1,4,29,1,0,31,2,0,37,0,1,44,4,5,66,1,2,52,9,12,259
신덕초등학교,공립,1,3,49,1,2,40,2,5,65,2,2,63,1,5,78,2,1,59,9,18,354
상학초등학교,공립,17,1,29,22,1,18,22,0,10,24,2,16,16,0,9,17,1,10,118,5,92
동양초등학교,공립,0,0,33,1,1,40,0,5,60,3,1,50,0,5,63,2,3,61,6,15,307
보림초등학교,공립,2,7,102,5,5,91,3,10,120,3,9,92,2,4,99,3,7,100,18,42,604
무정초등학교,공립,1,2,62,2,4,49,0,5,72,2,2,76,0,3,76,3,5,53,8,21,388
두실초등학교,공립,3,2,137,7,5,144,5,5,143,7,4,148,5,4,147,6,3,153,33,23,872
안진초등학교,공립,3,3,78,3,5,62,4,9,93,5,3,75,2,6,73,3,1,77,20,27,458
삼어초등학교,공립,0,3,64,0,3,62,2,5,60,0,0,54,2,0,51,1,0,48,5,11,339
센텀초등학교,공립,6,3,239,16,13,222,29,21,283,23,14,278,30,15,289,25,8,313,129,74,1624
송수초등학교,공립,5,8,183,4,8,182,12,12,162,5,8,178,5,8,166,3,9,155,34,53,1026
주양초등학교,공립,3,6,57,4,3,59,3,3,69,2,3,69,3,4,76,0,0,87,15,19,417
예원초등학교,공립,5,2,135,18,6,142,24,4,193,15,6,181,11,1,190,6,3,152,79,22,993
몰운대초등학교,공립,0,4,160,0,6,159,0,3,176,0,0,182,0,0,170,0,0,139,0,13,986
오륙도초등학교,공립,0,3,90,6,6,97,7,6,109,4,6,112,7,6,116,6,8,96,30,35,620
내리초등학교,공립,0,2,38,0,2,32,2,4,25,0,1,28,2,0,18,2,0,15,6,9,156
명호초등학교,공립,10,4,274,15,16,278,11,25,298,16,17,304,8,17,268,10,7,267,70,86,1689
신정초등학교,공립,9,8,129,11,1,118,11,6,161,11,3,132,8,4,146,4,4,135,54,26,821
달산초등학교,공립,4,12,122,8,2,100,12,11,133,8,8,126,2,4,101,4,4,97,38,41,679
남명초등학교,공립,4,3,146,11,6,128,9,8,142,10,8,151,7,5,151,4,4,103,45,34,821
용소초등학교,공립,4,8,197,8,14,208,13,16,223,18,10,206,6,11,227,6,5,186,55,64,1247
방곡초등학교,공립,11,14,217,12,22,191,11,14,213,11,26,228,11,9,155,14,2,135,70,87,1139
녹산초등학교,공립,15,18,219,24,21,213,17,22,215,10,31,195,12,17,165,4,12,114,82,121,1121
해원초등학교,공립,12,0,184,9,1,174,5,0,198,7,0,175,11,0,167,0,0,143,44,1,1041
온샘초등학교,공립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정원초등학교,공립,9,15,217,19,20,223,11,14,251,14,23,266,10,8,238,10,14,203,73,94,1398
부산알로이시오초등학교,사립,0,0,6,1,0,5,0,0,6,1,0,24,0,0,19,0,0,12,2,0,72
금빛초등학교,공립,4,6,124,7,10,130,7,9,152,4,9,172,6,7,141,3,8,159,31,49,878
화정초등학교,공립,6,0,134,7,13,128,6,7,139,4,8,121,5,5,145,3,5,125,31,38,792
모전초등학교,공립,7,10,309,13,22,301,14,30,302,12,20,274,13,21,269,3,11,215,62,114,1670
가동초등학교,공립,8,6,211,18,13,215,10,18,206,17,16,218,9,9,169,7,6,164,69,68,1183
송정초등학교,공립,18,4,140,14,8,131,18,7,125,19,5,122,20,6,120,14,5,75,103,35,713
오션초등학교,공립,5,6,193,11,12,183,7,14,191,9,9,172,5,17,180,5,5,157,42,63,1076
신명초등학교,공립,10,4,257,8,32,268,11,22,258,17,22,202,8,21,221,8,6,136,62,107,1342
명일초등학교,공립,0,5,163,0,4,133,0,2,115,2,1,86,1,1,57,1,1,43,4,14,597
명원초등학교,공립,8,12,342,46,19,289,59,16,249,63,12,243,40,12,204,24,9,165,240,80,1492
일광초등학교,공립,5,4,174,22,7,179,34,7,164,28,4,139,16,5,132,23,5,93,128,32,881
해빛초등학교,공립,7,3,163,104,4,98,108,1,105,91,2,84,81,1,76,56,1,51,447,12,577
